Fri Sep 24 2021 06:08:53 GMT-0400 (Eastern Daylight Time) - Run Time: 1847ms

Cross Tabulation Query Form - Person - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Age of person - age


Filters:
Regional municipality of household - region_hhld In 5, 6, 11, 

Persons 2016
ROW : gta06_hhld
COLUMN : age
  gta06_hhld         age      total
        4001           1        213
        4001           3         86
        4001           4        192
        4001           5         74
        4001           6        241
        4001           7        129
        4001           8        141
        4001           9        127
        4001          10        268
        4001          11        125
        4001          12         48
        4001          13        119
        4001          14        106
        4001          15        269
        4001          16         57
        4001          17        261
        4001          19        107
        4001          20        109
        4001          21        119
        4001          22        194
        4001          23        180
        4001          24        110
        4001          25        197
        4001          26         17
        4001          27        107
        4001          29        105
        4001          30         86
        4001          31         30
        4001          32         70
        4001          33         98
        4001          34        118
        4001          35        150
        4001          36         93
        4001          37        144
        4001          38         83
        4001          39        138
        4001          40        126
        4001          41         57
        4001          42        112
        4001          43        156
        4001          44         79
        4001          45        146
        4001          46        257
        4001          47        221
        4001          48        253
        4001          49        330
        4001          50        101
        4001          51        160
        4001          52         91
        4001          53        256
        4001          54        191
        4001          55        207
        4001          56         28
        4001          57         82
        4001          58        193
        4001          59        118
        4001          60        220
        4001          61        155
        4001          62        114
        4001          63         94
        4001          64        148
        4001          65        151
        4001          66        116
        4001          67         16
        4001          68         47
        4001          69         25
        4001          70         63
        4001          71         13
        4001          72         39
        4001          73         16
        4001          75         62
        4001          77         15
        4001          78         77
        4001          79         95
        4001          82         18
        4001          87          9
        4002          79         13
        4002          80         13
        4002          85         13
        4002          86         13
        4002          92         11
        4004           1         23
        4004           3          8
        4004           5         33
        4004           6         29
        4004           7         20
        4004           8         16
        4004           9         61
        4004          10         30
        4004          11         84
        4004          12         24
        4004          13         30
        4004          14         53
        4004          15         24
        4004          17        167
        4004          18         35
        4004          19         66
        4004          21         23
        4004          22         49
        4004          24        144
        4004          25          8
        4004          27         39
        4004          28         61
        4004          30         24
        4004          31         47
        4004          32         20
        4004          33          8
        4004          35          7
        4004          39         45
        4004          40         99
        4004          42         64
        4004          43         63
        4004          44        150
        4004          45         62
        4004          46         33
        4004          47         14
        4004          48         56
        4004          49         11
        4004          50         49
        4004          51         65
        4004          52        156
        4004          53         23
        4004          54          9
        4004          55         83
        4004          56        117
        4004          57         39
        4004          58         45
        4004          59         15
        4004          60         53
        4004          61         49
        4004          62         37
        4004          63         56
        4004          64         57
        4004          65         59
        4004          66         13
        4004          67         53
        4004          68         38
        4004          69         24
        4004          70         49
        4004          72         65
        4004          74         77
        4004          75         18
        4004          76         22
        4004          77         19
        4004          78          7
        4004          79         19
        4004          80         15
        4004          81         14
        4004          83         23
        4004          84          7
        4004          87         15
        4004          88         32
        4004          90         18
        4005           2         88
        4005           3         45
        4005           4         84
        4005           5         46
        4005           6         43
        4005           7        108
        4005           8         14
        4005           9         50
        4005          10         90
        4005          11         15
        4005          12        140
        4005          14         27
        4005          15         45
        4005          16         90
        4005          17         32
        4005          19         32
        4005          21         14
        4005          22         12
        4005          23         79
        4005          24         32
        4005          25         30
        4005          27         85
        4005          28         42
        4005          29         37
        4005          30         63
        4005          31         22
        4005          32         38
        4005          33         33
        4005          34         23
        4005          35         88
        4005          36        104
        4005          37         54
        4005          38         35
        4005          39         67
        4005          40        101
        4005          41        130
        4005          42        132
        4005          43         35
        4005          44        203
        4005          45        102
        4005          46         53
        4005          47         43
        4005          48         11
        4005          49         95
        4005          50         52
        4005          51         55
        4005          52         82
        4005          53        119
        4005          54         85
        4005          55         73
        4005          56        149
        4005          57        101
        4005          58        113
        4005          59         96
        4005          60         13
        4005          61         98
        4005          62        109
        4005          63        173
        4005          64        127
        4005          65        151
        4005          66         64
        4005          67        139
        4005          68        155
        4005          69        259
        4005          70        158
        4005          71         80
        4005          72        120
        4005          73        125
        4005          74        142
        4005          75         52
        4005          76        102
        4005          77         68
        4005          78        102
        4005          79        163
        4005          80        175
        4005          81         80
        4005          82         99
        4005          83         67
        4005          84         45
        4005          85         64
        4005          86        100
        4005          87         54
        4005          88         54
        4005          89         81
        4005          90         18
        4005          91         15
        4005          92          9
        4005          93         39
        4005          94         30
        4005          99         26
        4006           4         57
        4006           5         51
        4006           6         57
        4006           7         51
        4006           9         41
        4006          10         28
        4006          12         65
        4006          14         57
        4006          16         69
        4006          17         57
        4006          18         24
        4006          20         63
        4006          21         28
        4006          22         65
        4006          24         65
        4006          29         63
        4006          35         57
        4006          37         57
        4006          40        108
        4006          42        127
        4006          44         28
        4006          45         23
        4006          46         69
        4006          47         24
        4006          48         72
        4006          51         37
        4006          53        125
        4006          55         20
        4006          56         30
        4006          57         14
        4006          58         15
        4006          60         65
        4006          61         65
        4006          62         11
        4006          63         10
        4006          64         15
        4006          67         10
        4006          68         27
        4006          69         80
        4006          70         46
        4006          71         10
        4006          72         32
        4006          73         10
        4006          74         10
        4006          76         27
        4006          79          8
        4006          80         25
        4006          83         19
        4006          88         12
        4006          90         12
        4006          91         14
        4006          99         52
        4007           0         61
        4007           1         14
        4007           2        126
        4007           4         65
        4007           6        133
        4007           7         79
        4007           9        263
        4007          10        142
        4007          12         42
        4007          13        175
        4007          14         53
        4007          15         56
        4007          16         97
        4007          17         54
        4007          18         54
        4007          19         26
        4007          20          9
        4007          21        128
        4007          22         50
        4007          23         81
        4007          25         98
        4007          26        123
        4007          28         62
        4007          29         37
        4007          30         61
        4007          31         56
        4007          32         73
        4007          33         61
        4007          34         45
        4007          36        154
        4007          37         10
        4007          38         63
        4007          39        178
        4007          40         58
        4007          41         92
        4007          42         11
        4007          44        100
        4007          45        145
        4007          46        258
        4007          48         41
        4007          49        130
        4007          50         26
        4007          51         75
        4007          52        192
        4007          53        146
        4007          54         64
        4007          55        153
        4007          56         41
        4007          57         53
        4007          58        142
        4007          59         19
        4007          60         98
        4007          61         22
        4007          62         11
        4007          63         39
        4007          65         68
        4007          66         26
        4007          67         82
        4007          68         40
        4007          69         53
        4007          70         14
        4007          71         11
        4007          73         36
