Fri Sep 24 2021 06:16:57 GMT-0400 (Eastern Daylight Time) - Run Time: 613ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Type of dwelling unit - dwell_type


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : dwell_type
  gta06_hhld  dwell_type      total
        4001           1       2546
        4001           2        175
        4001           3        471
        4002           1         11
        4002           2         26
        4004           1       1120
        4005           1       1032
        4005           2       2165
        4005           3        374
        4006           1        690
        4007           1       1651
        4007           3        122
        4010           1        786
        4011           1        891
        4011           2        962
        4011           3        532
        4012           1        628
        4012           2       1765
        4012           3         32
        4013           1        336
        4013           2        302
        4014           1         14
        4014           2        432
        4014           3         99
        4015           1        349
        4015           2        163
        4016           1        148
        4016           2        731
        4016           3         21
        4017           1        731
        4017           2         12
        4018           1       1184
        4019           1         41
        4020           1       1987
        4020           3         12
        4021           1         86
        4023           1       1972
        4023           3        125
        4024           1         32
        4025           1       1253
        4025           3        495
        4026           1        980
        4026           3        102
        4027           1        126
        4027           2         24
        4027           3         10
        4028           1        425
        4028           3        135
        4029           1        605
        4029           2       1544
        4029           3        239
        4030           1        738
        4030           2        361
        4030           3        310
        4031           1       1272
        4031           3        272
        4032           1        673
        4032           3        145
        4033           1       1975
        4033           2        458
        4033           3        191
        4034           1        535
        4034           3        373
        4035           1        363
        4035           2       1042
        4035           3        204
        4036           1        717
        4036           2        292
        4036           3        531
        4037           1       2251
        4037           3        457
        4038           1       1222
        4038           3        173
        4039           1       2576
        4039           3        814
        4040           1        984
        4040           2        349
        4040           3        580
        4041           1       1755
        4041           2        857
        4041           3        253
        4042           1       1347
        4042           2        234
        4042           3        541
        4043           1          7
        4045           1       1632
        4045           2         34
        4045           3       1073
        4047           1          5
        4048           1         20
        4049           1         14
        4050           1        299
        4050           2         59
        4050           3         55
        4051           1        504
        4051           2       1578
        4051           3         34
        4052           1        450
        4052           2        112
        4052           3        125
        4053           1        296
        4053           2        136
        4053           3         22
        4054           1        878
        4054           2        337
        4054           3        141
        4055           1        945
        4055           2        519
        4055           3        601
        4056           1         17
        4056           2        110
        4057           1       1046
        4057           2       2277
        4057           3        666
        4058           1        208
        4058           2         57
        4058           3        272
        4059           1        983
        4059           2       1099
        4059           3        167
        4060           1        469
        4060           2       2595
        4060           3        245
        4061           1        711
        4061           2        744
        4061           3         50
        4062           1       1065
        4062           2        284
        4062           3        202
        4063           2        148
        4064           1        600
        4064           2       1166
        4064           3        663
        4065           1        664
        4065           2         86
        4065           3         90
        4066           1        677
        4067           1        690
        4067           3        341
        4068           1         65
        4068           3         48
        4069           1         36
        4069           2         27
        4069           3        585
        4070           1        925
        4070           3         87
        4071           1        799
        4071           2        309
        4071           3         16
        4072           1        820
        4073           1        759
        4074           1        964
        4074           2        694
        4074           3        260
        4075           1       1128
        4075           2        428
        4075           3        183
        4076           1       1894
        4076           2        450
        4076           3        974
        4077           1          8
        4077           2         77
        4077           3         73
        4078           1        342
        4078           2        808
        4078           3        564
        4079           1       2903
        4079           2        857
        4079           3        699
        4080           1       1801
        4080           2         78
        4080           3       1432
        4083           1       1990
        4083           2        303
        4083           3        394
        4084           1       3139
        4084           2        566
        4084           3       1011
        4085           1       1195
        4085           3        415
        4086           1        276
        4086           2        225
        4086           3        240
        4087           1        736
        4087           2        188
        4087           3        110
        4088           1       1161
        4088           2        234
        4088           3        188
        4089           1       2562
        4089           2        629
        4089           3        910
        4090           1        482
        4090           3        262
        4091           1        372
        4092           1        348
        4092           3         32
        4093           1        154
        4093           2         25
        4094           1         51
        4096           1        117
        4097           1        397
        4098           1        348
        4099           1        187
        4100           1        107
        4103           1       1409
        4103           3        871
        4104           1        119
        4104           3         94
        4105           1       2183
        4105           2        247
        4105           3       1492
        4106           1          9
        4108           1       1498
        4108           3        588
        4110           1       3745
        4110           2         20
        4110           3        920
        4111           1         39
        4112           1         20
        4113           1         45
        4114           1         54
        4118           1         77
        4118           3        340
        4119           1       1755
        4119           2        917
        4119           3        528
        4120           1       2555
        4120           2        349
        4120           3        921
        4121           1        100
        4122           1         19
        4123           1       1171
        4123           2        325
        4123           3        420
        4124           1       1330
        4124           2         94
        4124           3        261
        4125           1       1361
        4125           2        289
        4125           3        471
        4126           1        650
        4126           2        712
        4127           1       2842
        4127           2        132
        4127           3        519
        4128           1          8
        4129           1         27
        4130           1         27
        4131           1         43
        4132           1        130
        4133           1        112
        4134           1        181
        4135           1        331
        4136           1        220
        4137           1        371
        4138           1        174
        4138           2         46
        4139           1        216
        4140           1        308
        4141           1         71
        4142           1         56
        4143           1        275
        4144           1         54
        4148           1         29
        4149           1        304
        4153           1         30
        4154           1        404
        4155           1        341
        4156           1          7
        4157           1        195
        4157           3         12
        4158           1       1198
        4158           3        307
        4159           1        829
        4159           2        353
        4160           1       2810
        4160           3         85
        4161           1        198
        4162           1       1046
        4162           2        146
        4162           3        436
        4163           1       1225
        4163           2        650
        4163           3         64
        4164           1        679
        4164           2        308
        4164           3        815
        4165           1        131
        4166           1       1144
        4166           2        380
        4166           3         26
        4167           1        258
        4168           1        139
        4169           1        172
        4170           1        369
        4171           1         51
        4172           1        245
        4173           1        308
        4174           1        344
        4175           1        617
        4176           1        720
        4176           2         45
        4177           1        312
        4177           2        187
        4178           1        697
        4178           3         56
        4179           1         90
        4183           1       1919
        4183           3        729
        4184           1         42
        4186           1       3467
        4186           2         13
        4186           3       1701
        4188           1         26
        4189           1       2814
        4189           2        195
        4189           3        322
        4190           1        275
        4190           2        701
        4190           3        940
        4191           1        400
        4193           1         12
        4193           2        221
        4195           1        795
        4196           1        601
        4196           2        308
        4196           3        237
        4197           1        153
        4197           2         67
        5001           1        227
        5002           1        212
        5002           2        110
        5002           3        459
        5003           1        172
        5004           1        420
        5005           1       1079
        5005           3        508
        5006           1         13
        5007           1        568
        5007           2         50
        5008           1        190
        5009           1        779
        5009           3        325
        5010           1          8
        5011           1        117
        5012           1        269
        5012           2          7
        5014           1         66
        5016           1        278
        5018           1        138
        5020           1        536
        5026           1         21
        5028           1         91
        5030           1        348
