Fri Sep 24 2021 06:18:16 GMT-0400 (Eastern Daylight Time) - Run Time: 797ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Income range of household - income


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : income
  gta06_hhld      income      total
        4001           1         32
        4001           2        322
        4001           3        302
        4001           4        386
        4001           5        298
        4001           6       1325
        4001           7        528
        4002           2         24
        4002           5         13
        4004           1         19
        4004           2         51
        4004           3        137
        4004           4        225
        4004           5         74
        4004           6        313
        4004           7        301
        4005           1        152
        4005           2        385
        4005           3        480
        4005           4        614
        4005           5        277
        4005           6        657
        4005           7       1009
        4006           1         12
        4006           2         42
        4006           4         38
        4006           5         57
        4006           6        411
        4006           7        130
        4007           1         14
        4007           2        121
        4007           3        225
        4007           4        418
        4007           5        197
        4007           6        371
        4007           7        425
        4010           1         73
        4010           2        104
        4010           3         79
        4010           4         98
        4010           5         84
        4010           6        121
        4010           7        227
        4011           1        116
        4011           2        308
        4011           3        144
        4011           4        319
        4011           5        318
        4011           6        721
        4011           7        459
        4012           1        183
        4012           2        575
        4012           3        629
        4012           4        521
        4012           5        157
        4012           6        187
        4012           7        172
        4013           1         39
        4013           2         29
        4013           3        222
        4013           4          5
        4013           5        109
        4013           6         97
        4013           7        137
        4014           2        144
        4014           3         39
        4014           4         84
        4014           5        107
        4014           6         51
        4014           7        121
        4015           2         43
        4015           3        106
        4015           4         39
        4015           5         19
        4015           6        225
        4015           7         80
        4016           1         17
        4016           2         76
        4016           3        171
        4016           4        159
        4016           5         73
        4016           6        111
        4016           7        293
        4017           4         98
        4017           5         28
        4017           6        506
        4017           7        111
        4018           1         43
        4018           3         26
        4018           4        231
        4018           5         60
        4018           6        587
        4018           7        238
        4019           1         14
        4019           2         14
        4019           6         12
        4020           1         14
        4020           2         94
        4020           3         44
        4020           4        309
        4020           5        161
        4020           6        777
        4020           7        599
        4021           2         11
        4021           4         20
        4021           5         41
        4021           7         14
        4023           1          7
        4023           2        161
        4023           3         91
        4023           4        344
        4023           5        217
        4023           6        761
        4023           7        517
        4024           6         23
        4024           7          9
        4025           2         83
        4025           3         87
        4025           4        324
        4025           5        124
        4025           6        673
        4025           7        457
        4026           2        110
        4026           3         94
        4026           4        254
