Fri Sep 24 2021 06:19:05 GMT-0400 (Eastern Daylight Time) - Run Time: 673ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of drivers in household - n_licence


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_licence
  gta06_hhld   n_licence      total
        4001           1        482
        4001           2       1991
        4001           3        541
        4001           4        158
        4001          99         20
        4002           0         37
        4004           0         23
        4004           1        205
        4004           2        526
        4004           3        177
        4004           4        136
        4004           5         39
        4004          99         15
        4005           0        171
        4005           1       1613
        4005           2       1482
        4005           3        215
        4005           4         72
        4005          99         20
        4006           0         28
        4006           1        107
        4006           2        309
        4006           3        101
        4006           4        145
        4007           0         78
        4007           1        286
        4007           2        965
        4007           3        212
        4007           4        203
        4007          99         29
        4010           0         12
        4010           1        323
        4010           2        324
        4010           3         71
        4010          99         56
        4011           0        139
        4011           1        865
        4011           2        870
        4011           3        248
        4011           4        144
        4011           5         99
        4011          99         19
        4012           0        226
        4012           1       1103
        4012           2        874
        4012           3        109
        4012           4         81
        4012          99         31
        4013           0         65
        4013           1        233
        4013           2        340
        4014           0         59
        4014           1        242
        4014           2        219
        4014           3         26
        4015           0         34
        4015           1        157
        4015           2        321
        4016           0        108
        4016           1        534
        4016           2        209
        4016           3         20
        4016          99         31
        4017           1         73
        4017           2        547
        4017           3        106
        4017          99         17
        4018           1         94
        4018           2        700
        4018           3        237
        4018           4         71
        4018           5         66
        4018          99         17
        4019           1         28
        4019           2         12
        4020           1        226
        4020           2        900
        4020           3        375
        4020           4        280
        4020           5        115
        4020          99        103
        4021           2         75
        4021           3         11
        4023           1        133
        4023           2       1133
        4023           3        490
        4023           4        223
        4023           5         97
        4023          99         20
        4024           1          9
        4024           2         23
        4025           0         13
        4025           1        255
        4025           2        589
        4025           3        688
        4025           4        136
        4025           5         44
        4025          99         23
        4026           0         18
        4026           1         81
        4026           2        789
        4026           3         96
        4026           4         65
        4026          99         33
        4027           2         53
        4027           3         28
        4027           4         79
        4028           1        120
        4028           2        301
        4028           3        103
        4028           4         36
        4029           0        154
        4029           1        872
        4029           2        867
        4029           3        318
        4029           4        101
        4029          99         76
        4030           0         37
        4030           1        462
        4030           2        799
        4030           3        112
        4031           0          5
        4031           1        370
        4031           2        604
        4031           3        282
        4031           4        186
        4031          99         97
        4032           0         10
        4032           1         38
        4032           2        575
        4032           3        161
        4032           4         14
        4032          99         20
        4033           0          8
        4033           1        498
        4033           2       1299
        4033           3        583
        4033           4         99
        4033           5         77
        4033          99         60
        4034           1        151
        4034           2        488
        4034           3         60
        4034           4        108
        4034           5        101
        4035           0         95
        4035           1        823
        4035           2        576
        4035           3         63
        4035           4         40
        4035          99         12
        4036           0         72
        4036           1        462
        4036           2        477
        4036           3        329
        4036           4        165
        4036          99         35
        4037           1        286
        4037           2       1440
        4037           3        312
        4037           4        600
        4037          99         70
        4038           1        218
        4038           2        764
        4038           3        222
        4038           4        149
        4038          99         42
        4039           0         85
        4039           1        467
        4039           2       1893
        4039           3        499
        4039           4        321
        4039           5         47
        4039          99         78
        4040           0         63
        4040           1        490
        4040           2        930
        4040           3        285
        4040           4         16
        4040           5         86
        4040          99         42
        4041           0         91
        4041           1        586
        4041           2       1308
        4041           3        564
        4041           4        151
        4041           5         81
        4041          99         83
        4042           0         28
        4042           1        313
        4042           2       1145
        4042           3        334
        4042           4        151
        4042           5         39
        4042           6         33
        4042          99         81
        4043           1          7
        4045           1        338
        4045           2       1743
        4045           3        475
        4045           4         68
        4045          99        115
        4047           1          5
        4048           4         20
        4049           3         14
        4050           0         48
        4050           1         80
        4050           2        214
        4050           4         71
        4051           0         79
        4051           1        929
        4051           2       1021
        4051           3         39
        4051           4         14
        4051          99         35
        4052           0         15
        4052           1        238
        4052           2        316
        4052           3        118
        4053           0         46
        4053           1        120
        4053           2        259
        4053           3         28
        4054           0         85
        4054           1        420
        4054           2        745
        4054           3         60
        4054          99         45
        4055           0         18
        4055           1        529
        4055           2        989
        4055           3        476
        4055           4         54
        4056           0         33
        4056           1         94
        4057           0        144
        4057           1       1622
        4057           2       1691
        4057           3        366
        4057          99        165
        4058           1        209
        4058           2        304
        4058           3         23
        4059           1       1023
        4059           2        984
        4059           3        171
        4059           4         10
        4059           5         25
        4059          99         36
        4060           0        352
        4060           1       1626
        4060           2       1011
        4060           3        153
        4060           4        156
        4060          99         11
        4061           0        112
        4061           1        693
        4061           2        507
        4061           3        161
        4061           4         33
        4062           0         58
        4062           1        529
        4062           2        688
        4062           3        136
        4062           4         88
        4062          99         53
        4063           0         14
        4063           1         88
        4063           2         45
        4064           0        192
        4064           1       1066
        4064           2        907
        4064           3        134
        4064           4         15
        4064           5         33
        4064          99         83
        4065           0         60
        4065           1        135
        4065           2        532
        4065           3         78
        4065           4         21
        4065          99         14
        4066           1        138
        4066           2        426
        4066           3         73
        4066           5         40
        4067           1        232
        4067           2        673
        4067           3         35
        4067           5         92
        4068           1         19
        4068           2         63
        4068           3         31
        4069           1        133
        4069           2        451
        4069           3         36
        4069          99         29
        4070           1        185
        4070           2        623
        4070           3        145
        4070           4         39
        4070          99         20
        4071           0         61
        4071           1        318
        4071           2        454
        4071           3        141
        4071           4        107
        4071          99         44
        4072           0         29
        4072           1         91
        4072           2        579
        4072           3         76
        4072           4         33
        4072          99         12
        4073           1        138
        4073           2        346
        4073           3        207
        4073           4         67
        4074           0          6
        4074           1        657
        4074           2        992
        4074           3        131
        4074           4         27
        4074           6         95
        4074          99         10
        4075           0         89
        4075           1        549
        4075           2        821
        4075           3        123
        4075           4        134
        4075          99         22
        4076           0        102
        4076           1        811
        4076           2       1992
        4076           3        289
        4076           4        123
        4077           1         50
        4077           2        100
        4077           3          8
        4078           0         65
        4078           1        645
        4078           2        781
        4078           3         67
        4078           4        133
        4078          99         22
        4079           0         35
        4079           1        914
        4079           2       2890
        4079           3        399
        4079           4         52
        4079           5         64
        4079          99        106
        4080           0         24
        4080           1        525
