Fri Sep 24 2021 06:20:09 GMT-0400 (Eastern Daylight Time) - Run Time: 675ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of F/T workers in household - n_emp_ft


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_emp_ft
  gta06_hhld    n_emp_ft      total
        4001           0        617
        4001           1       1121
        4001           2       1303
        4001           3        151
        4002           0         37
        4004           0        374
        4004           1        295
        4004           2        364
        4004           3         88
        4005           0       2124
        4005           1        904
        4005           2        411
        4005           3         77
        4005           4         55
        4006           0        157
        4006           1        222
        4006           2        125
        4006           3        185
        4007           0        415
        4007           1        531
        4007           2        696
        4007           3         80
        4007           4         50
        4010           0        380
        4010           1        240
        4010           2        147
        4010           3         19
        4011           0        948
        4011           1        907
        4011           2        473
        4011           3         57
        4012           0        963
        4012           1        782
        4012           2        644
        4012           4         36
        4013           0        177
        4013           1        358
        4013           2        104
        4014           0        326
        4014           1        112
        4014           2        107
        4015           0        179
        4015           1        180
        4015           2        153
        4016           0        587
        4016           1        262
        4016           2         51
        4017           0        282
        4017           1        223
        4017           2        238
        4018           0        226
        4018           1        441
        4018           2        381
        4018           3         71
        4018           4         66
        4019           0         28
        4019           1         12
        4020           0        524
        4020           1        680
        4020           2        548
        4020           3        247
        4021           1         25
        4021           2         61
        4023           0        404
        4023           1        713
        4023           2        727
        4023           3        254
        4024           1          9
        4024           2         23
        4025           0        421
        4025           1        696
        4025           2        376
        4025           3         82
        4025           4        172
        4026           0        297
        4026           1        310
        4026           2        453
        4026           3         22
        4027           1         43
        4027           2        116
        4028           0        113
        4028           1        267
        4028           2        143
        4028           3         36
        4029           0       1128
        4029           1        602
        4029           2        512
        4029           3        116
        4029           4         30
        4030           0        480
        4030           1        497
        4030           2        404
        4030           3         28
        4031           0        477
        4031           1        427
        4031           2        606
        4031           3         34
        4032           0        213
        4032           1        226
        4032           2        326
        4032           3         53
        4033           0        291
        4033           1       1355
        4033           2        824
        4033           3        155
        4034           0        112
        4034           1        491
        4034           2        277
        4034           4         27
        4035           0        595
        4035           1        727
        4035           2        247
        4035           3         40
        4036           0        490
        4036           1        795
        4036           2        229
        4036           3         11
        4036           4         15
        4037           0        224
        4037           1        949
        4037           2       1191
        4037           3        208
        4037           4        135
        4038           0        213
        4038           1        428
        4038           2        692
        4038           3         34
        4038           4         29
        4039           0        541
        4039           1       1505
        4039           2       1199
        4039           3        134
        4039           4         11
        4040           0        626
        4040           1        776
        4040           2        466
        4040           3         45
        4041           0        831
        4041           1       1058
        4041           2        820
        4041           3        136
        4041           4         21
        4042           0        480
        4042           1        634
        4042           2        919
        4042           3         71
        4042           4         19
        4043           0          7
        4045           0        457
        4045           1       1007
        4045           2       1182
        4045           3         93
        4047           0          5
        4048           1         20
        4049           1         14
        4050           0        164
        4050           1         71
        4050           2        132
        4050           4         47
        4051           0       1338
        4051           1        447
        4051           2        331
        4052           0        266
        4052           1        306
        4052           2        114
        4053           0        271
        4053           1         81
        4053           2         72
        4053           3         28
        4054           0        553
        4054           1        462
        4054           2        340
        4055           0        465
        4055           1        868
        4055           2        528
        4055           3        154
        4055           4         50
        4056           0        113
        4056           1         14
        4057           0       1599
        4057           1       1205
        4057           2       1077
        4057           3        107
        4058           0        138
        4058           1        157
        4058           2        180
        4058           3         61
        4059           0        692
        4059           1       1086
        4059           2        472
        4060           0       1731
        4060           1       1076
        4060           2        423
        4060           3         80
        4061           0        662
        4061           1        641
        4061           2        201
        4062           0        447
        4062           1        458
        4062           2        626
        4062           3         21
        4063           0        131
        4063           1         17
        4064           0       1207
        4064           1        763
        4064           2        442
        4064           3         19
        4065           0        319
        4065           1        300
        4065           2        200
        4065           4         21
        4066           0        259
        4066           1        239
        4066           2        140
        4066           3         40
        4067           0        326
        4067           1        342
        4067           2        272
        4067           5         92
        4068           0         82
        4068           2         31
        4069           0         24
        4069           1        319
        4069           2        306
        4070           0        376
        4070           1        297
        4070           2        302
        4070           3         36
        4071           0        312
        4071           1        528
        4071           2        283
        4072           0        180
        4072           1        186
        4072           2        454
        4073           0        228
        4073           1        349
        4073           2        115
        4073           3         42
        4073           4         26
        4074           0        868
        4074           1        564
        4074           2        460
        4074           3         27
        4075           0        738
        4075           1        377
        4075           2        528
        4075           3         96
        4076           0        907
        4076           1       1082
        4076           2       1154
        4076           3        174
        4077           0         24
        4077           1         54
        4077           2         81
        4078           0        418
        4078           1        791
        4078           2        421
        4078           3         83
        4079           0        629
        4079           1       1913
        4079           2       1799
        4079           3         82
        4079           4         37
        4080           0       1017
        4080           1       1278
        4080           2        864
        4080           3        153
        4083           0        663
        4083           1        827
        4083           2        955
        4083           3        164
        4083           4         44
        4083           6         34
        4084           0        973
        4084           1       1707
        4084           2       1545
        4084           3        400
        4084           4         91
        4085           0        301
        4085           1        502
        4085           2        631
        4085           3        176
        4086           0        219
        4086           1        361
        4086           2        134
        4086           3         28
        4087           0        198
        4087           1        528
        4087           2        308
        4088           0        478
        4088           1        605
        4088           2        441
        4088           3         59
        4089           0       1103
        4089           1       1525
        4089           2       1132
        4089           3        312
        4089           4         29
        4090           0        265
        4090           1        190
        4090           2        288
        4091           0         58
        4091           1        199
        4091           2        115
        4092           0         72
        4092           1        117
        4092           2        166
        4092           3         25
        4093           0         74
        4093           1         65
        4093           2         28
        4093           3         12
        4094           2         51
        4096           0         38
