Fri Sep 24 2021 06:21:03 GMT-0400 (Eastern Daylight Time) - Run Time: 659ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of persons in household - n_person


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_person
  gta06_hhld    n_person      total
        4001           1        452
        4001           2        948
        4001           3        629
        4001           4        821
        4001           5        270
        4001           7         71
        4002           1         11
        4002           2         26
        4004           1        170
        4004           2        355
        4004           3        188
        4004           4        324
        4004           5         75
        4004           6          8
        4005           1       1486
        4005           2       1312
        4005           3        361
        4005           4        284
        4005           5        109
        4005           6         20
        4006           1         79
        4006           2        192
        4006           3         16
        4006           4        318
        4006           5         85
        4007           1        217
        4007           2        537
        4007           3        348
        4007           4        430
        4007           5        180
        4007           8         61
        4010           1        196
        4010           2        307
        4010           3        172
        4010           4        111
        4011           1        749
        4011           2        832
        4011           3        348
        4011           4        217
        4011           5        239
        4012           1        939
        4012           2        760
        4012           3        455
        4012           4        114
        4012           5        157
        4013           1        268
        4013           2        183
        4013           3         66
        4013           4        121
        4014           1        281
        4014           2        212
        4014           3         30
        4014           4         22
        4015           1        174
        4015           2        204
        4015           3         48
        4015           4         87
        4016           1        555
        4016           2        301
        4016           3         28
        4016           4         16
        4017           1         64
        4017           2        298
        4017           3         71
        4017           4        249
        4017           5         60
        4018           1         41
        4018           2        342
        4018           3        217
        4018           4        469
        4018           5        116
        4019           1         28
        4019           2         12
        4020           1        189
        4020           2        550
        4020           3        462
        4020           4        372
        4020           5        284
        4020           6        142
        4021           2         55
        4021           3         31
        4023           1        111
        4023           2        449
        4023           3        422
        4023           4        645
        4023           5        271
        4023           6        163
        4023           7         37
        4024           2          9
        4024           5         23
        4025           1        193
        4025           2        341
        4025           3        559
        4025           4        402
        4025           5        192
        4025           6         18
        4025           7         44
        4026           1         47
        4026           2        454
        4026           3        221
        4026           4        248
        4026           5         63
        4026           6         49
        4027           2         24
        4027           4        126
        4027           6         10
        4028           1        105
        4028           2        167
        4028           3         88
