Fri Sep 24 2021 06:21:48 GMT-0400 (Eastern Daylight Time) - Run Time: 603ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of P/T workers in household - n_emp_pt


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_emp_pt
  gta06_hhld    n_emp_pt      total
        4001           0       2506
        4001           1        529
        4001           2        157
        4002           0         37
        4004           0        870
        4004           1        196
        4004           2         54
        4005           0       2987
        4005           1        555
        4005           2         31
        4006           0        493
        4006           1        180
        4006           2         17
        4007           0       1362
        4007           1        356
        4007           2         56
        4010           0        662
        4010           1        109
        4010           2         15
        4011           0       1949
        4011           1        420
        4011           2         17
        4012           0       1922
        4012           1        451
        4012           2         52
        4013           0        468
        4013           1        170
        4014           0        481
        4014           1         65
        4015           0        468
        4015           1         30
        4015           2         14
        4016           0        824
        4016           1         76
        4017           0        574
        4017           1        121
        4017           2         15
        4017           3         33
        4018           0        976
        4018           1        208
        4019           0         41
        4020           0       1479
        4020           1        491
        4020           3         29
        4021           0         86
        4023           0       1714
        4023           1        361
        4023           2         22
        4024           0         32
        4025           0        999
        4025           1        468
        4025           2        281
        4026           0        951
        4026           1        101
        4026           2         30
        4027           0         88
        4027           1         71
        4028           0        382
        4028           1        142
        4028           2         36
        4029           0       1893
        4029           1        436
        4029           2         58
        4030           0       1156
        4030           1        218
        4030           2         35
        4031           0        847
        4031           1        555
        4031           2        142
        4032           0        659
        4032           1         97
        4032           2         62
        4033           0       1934
        4033           1        659
        4033           2         32
        4034           0        719
        4034           1        149
        4034           2         39
        4035           0       1352
        4035           1        240
        4035           2         17
        4036           0       1136
        4036           1        275
        4036           2         39
        4036           3         54
        4036           4         35
        4037           0       1917
        4037           1        640
        4037           2        111
        4037           3         39
        4038           0       1005
        4038           1        390
        4039           0       2409
        4039           1        733
        4039           2        208
        4039           3         40
        4040           0       1383
        4040           1        454
        4040           2         75
        4041           0       2277
        4041           1        439
        4041           2        101
        4041           3         49
        4042           0       1540
        4042           1        523
        4042           2         60
        4043           0          7
        4045           0       2178
        4045           1        429
        4045           2        132
        4047           0          5
        4048           1         20
        4049           0         14
        4050           0        290
        4050           1         99
        4050           2         24
        4051           0       1808
        4051           1        281
        4051           2         27
        4052           0        493
        4052           1        164
        4052           2         31
        4053           0        362
        4053           1         61
        4053           2         30
        4054           0       1145
        4054           1        210
        4055           0       1517
        4055           1        521
        4055           2         27
        4056           0        127
        4057           0       3296
        4057           1        676
        4057           2         17
        4058           0        478
        4058           1         58
        4059           0       1783
        4059           1        325
        4059           2        108
        4059           3         33
        4060           0       2882
        4060           1        363
        4060           2         65
        4061           0       1148
        4061           1        269
        4061           2         88
        4062           0       1158
        4062           1        305
        4062           2         88
        4063           0        120
        4063           1         28
        4064           0       1794
        4064           1        606
        4064           2         30
        4065           0        672
        4065           1        168
        4066           0        538
        4066           1        125
        4066           2         14
        4067           0        771
        4067           1        260
        4068           0         82
        4068           1         31
        4069           0        613
        4069           1         36
        4070           0        793
        4070           1        119
        4070           2         61
        4070           4         39
        4071           0        781
        4071           1        153
        4071           2        190
        4072           0        728
        4072           1         93
        4073           0        447
        4073           1        212
        4073           2         42
        4073           3         58
        4074           0       1626
        4074           1        272
        4074           3         20
        4075           0       1357
        4075           1        348
        4075           2         35
        4076           0       2462
        4076           1        757
        4076           2         99
        4077           0        150
        4077           1          8
        4078           0       1358
        4078           1        311
        4078           2         45
        4079           0       3424
        4079           1        986
        4079           2         23
        4079           3         27
        4080           0       2283
        4080           1        947
        4080           2         49
        4080           3         33
        4083           0       2010
        4083           1        546
        4083           2        115
        4083           4         17
        4084           0       3347
        4084           1       1065
        4084           2        281
        4084           3         24
        4085           0       1221
        4085           1        347
        4085           2         42
        4086           0        604
        4086           1        137
        4087           0        684
        4087           1        246
        4087           2        104
        4088           0       1088
        4088           1        435
        4088           2         60
        4089           0       3038
        4089           1        907
        4089           2        111
        4089           3         46
        4090           0        456
        4090           1        288
        4091           0        264
        4091           1         78
        4091           2         30
        4092           0        243
        4092           1        104
        4092           2         33
        4093           0        134
        4093           1         40
        4093           2          5
        4094           0         32
        4094           1         19
        4096           0        107
        4096           1         10
        4097           0        310
        4097           1         56
        4097           2         25
        4097           3          6
        4098           0        219
        4098           1        129
        4099           0        187
        4100           0         37
        4100           1         20
        4100           2         49
        4103           0       1856
        4103           1        424
        4104           0        144
        4104           1         69
        4105           0       2977
        4105           1        866
        4105           2         54
        4105           4         26
        4106           1          9
        4108           0       1664
        4108           1        411
        4108           2         10
        4110           0       3447
        4110           1       1038
        4110           2        105
        4110           3         95
        4111           0         39
        4112           1         20
        4113           0         10
        4113           1         36
        4114           0         54
        4118           0        346
        4118           1         37
        4118           3         35
        4119           0       2532
        4119           1        612
        4119           2         33
        4119           3         22
        4120           0       2941
        4120           1        766
        4120           2        117
        4121           0         56
        4121           1         44
        4122           0         19
        4123           0       1654
        4123           1        236
        4123           2         26
        4124           0       1345
        4124           1        266
        4124           2         74
        4125           0       1538
        4125           1        537
        4125           2         47
        4126           0       1050
        4126           1        263
        4126           2         49
        4127           0       2473
        4127           1        765
        4127           2        236
        4127           3         19
        4128           1          8
        4129           0         27
        4130           0         27
        4131           0         43
        4132           0        115
        4132           1         15
        4133           0        103
        4133           1         10
        4134           0        181
        4135           0        233
        4135           1         87
        4135           2         12
        4136           0        157
        4136           1         63
        4137           0        278
        4137           1         92
        4138           0        162
        4138           1         58
        4139           0        186
        4139           1         20
        4139           2         11
        4140           0        218
        4140           1         73
        4140           2         17
        4141           0         61
        4141           1         10
        4142           0         56
        4143           0        216
        4143           1         48
        4143           2         11
        4144           0         54
        4148           0         29
        4149           0        215
        4149           1         89
        4153           0         30
        4154           0        235
        4154           1        169
        4155           0        322
        4155           1         12
        4155           2          7
        4156           0          4
        4156           1          3
        4157           0        165
        4157           1         42
        4158           0       1147
        4158           1        258
        4158           2         79
        4158           3         21
        4159           0        926
        4159           1        244
        4159           2         13
        4160           0       2008
        4160           1        609
        4160           2        228
        4160           3         49
        4161           0        120
        4161           1         78
        4162           0       1233
        4162           1        279
        4162           2        116
        4163           0       1456
        4163           1        398
        4163           2         84
        4164           0       1532
        4164           1        228
        4164           2         43
        4165           0        131
        4166           0       1271
        4166           1        279
        4167           0        151
        4167           1         26
        4167           2         81
        4168           0        129
        4168           1         10
        4169           0        156
        4169           1         16
        4170           0        250
        4170           1        119
        4171           0         40
        4171           1         12
        4172           0        165
        4172           1         80
        4173           0        206
        4173           1         86
        4173           2         16
        4174           0        253
        4174           1         91
        4175           0        278
        4175           1        276
        4175           2         62
        4176           0        564
        4176           1        141
        4176           2         59
        4177           0        367
        4177           1        132
        4178           0        659
        4178           1         75
        4178           2         20
        4179           0         33
        4179           1         27
        4179           2         29
        4183           0       2072
        4183           1        448
        4183           2        128
        4184           0         24
        4184           2         18
        4186           0       4108
        4186           1        770
        4186           2        233
        4186           3         70
        4188           0         26
        4189           0       2540
        4189           1        610
        4189           2        182
        4190           0       1633
        4190           1        261
        4190           2         21
        4191           0        214
        4191           1         18
        4191           2         74
        4191           3         94
        4193           0        234
        4195           0        638
        4195           1        157
        4196           0        866
        4196           1        281
        4197           0        204
        4197           1         16
        5001           0        177
        5001           2         49
        5002           0        638
        5002           1        103
        5002           2         40
        5003           0        123
        5003           1         40
        5003           2          9
        5004           0        244
        5004           1        176
        5005           0       1284
        5005           1        241
        5005           2         61
        5006           0         13
        5007           0        389
        5007           1        229
        5008           0        100
        5008           2         90
        5009           0        936
        5009           1        168
        5010           0          8
        5011           0        117
        5012           0        122
        5012           1         91
        5012           2         62
        5014           0         48
        5014           1         18
        5016           0        142
        5016           1        136
        5018           0         16
        5018           1        122
        5020           0        382
        5020           1        154
        5026           0         21
        5028           0         91
        5030           0        326
        5030           1         22
        5032           0       1128
        5032           1        968
        5032           2        136
        5033           0        324
        5035           1         21
        5036           0        263
        5036           1        255
        5036           4         74
        5037           0        137
        5038           0         24
        5038           1          7
        5039           1          7
        5040           0        117
        5041           0       1810
        5041           1        381
        5041           2         54
        5044           0        559
        5044           1        180
        5045           0        765
        5045           1        224
        5045           2         25
        5046           0       1433
        5046           1        429
        5046           2        169
        5047           0       1604
        5047           1        286
        5048           0         30
        5049           0        196
        5050           0       1388
        5050           1        158
        5050           2         67
        5051           0       1152
        5051           1        479
        5052           0        390
        5052           1         24
        5052           2         22
        5052           3         59
        5053           0       1184
        5053           1        321
        5053           2        109
        5054           0         31
        5054           1         92
        5054           2         35
        5055           0         59
        5056           0        503
        5056           1        303
        5056           3        100
        5057           0       1143
        5057           1        252
        5057           2         36
        5058           0       1372
        5058           1         37
        5059           0       1373
        5059           1        656
        5059           2        115
        5060           0        630
        5060           1        115
        5060           2         85
        5061           0        906
        5061           1        206
        5061           2         55
        5063           0        742
        5063           1        284
        5063           2         39
        5065           0        869
        5065           1        331
        5065           2         30
        5066           0       1263
        5066           1        391
        5066           2        277
        5066           3         49
        5067           0        510
        5067           1        191
        5067           2         26
        5067           3         53
        5068           0       1518
        5068           1        339
        5068           2         76
        5068           3         48
        5069           0       1195
        5069           1        293
        5069           2         56
        5071           0        797
        5071           1         48
        5071           2         47
        5072           0        168
        5072           1        141
        5072           2         17
        5073           0       1699
        5073           1        278
        5073           2         33
        5074           0        913
        5074           1        351
        5074           2         40
        5074           3         89
        5075           0        744
        5075           1        218
        5075           2         71
        5076           0        686
        5076           1        163
        5077           0         97
        5077           1         33
        5077           2         27
        5078           0        466
        5078           1        105
        5079           0        513
        5079           1         46
        5079           3         19
        5080           0        230
        5080           1         86
        5081           0        417
        5081           1         56
        5081           2         16
        5082           0       1370
        5082           1        424
        5082           2        201
        5084           0       1367
        5084           1        361
        5084           2         71
        5086           0        908
        5086           1        255
        5086           2        100
        5087           0        220
        5088           0        194
        5088           1         31
        5089           0       1236
        5089           1        213
        5089           2         66
        5090           0        531
        5090           1        219
        5090           2         49
        5091           0        726
        5091           1        214
        5091           2         52
        5092           0        970
        5092           1        440
        5092           2         96
        5093           0        837
        5093           1         64
        5093           2         12
        5094           0       1874
        5094           1        521
        5094           2         58
        5095           0       1605
        5095           1         87
        5095           2         47
        5096           0        969
        5096           1        355
        5097           0        756
        5097           1        144
        5098           0        970
        5098           1        474
        5098           2         97
        5098           3         58
        5099           0       1193
        5099           1        224
        5099           2         51
        5100           0       1320
        5100           1        281
        5100           2         34
        5101           0        481
        5101           1        277
        5102           0        783
        5102           1         26
        5103           0        203
        5103           1         38
        5104           0       1682
        5104           1        256
        5105           0        702
        5105           1        170
        5105           2         35
        5106           0        856
        5106           1        163
        5107           0        606
        5107           2         37
        5109           0        612
        5109           1        267
        5109           2         28
        5110           0       1151
        5110           1        392
        5111           0       1583
        5111           1        201
        5111           2         35
        5113           0        736
        5113           1        240
        5114           0        791
        5114           1         47
        5115           0       1201
        5115           1         87
        5115           2         51
        5116           0        588
        5116           1        291
        5116           2        131
        5117           0        362
        5117           1        125
        5118           0       1211
        5118           1        464
        5118           2         21
        5119           0         66
        5120           0        893
        5120           1        192
        5121           0        753
        5121           1        356
        5122           0        966
        5122           1        230
        5122           2         61
        5123           0       2676
        5123           1        306
        5123           2         37
        5125           0        345
        5125           1         52
        5126           0         61
        5126           1        198
        5127           0       1695
        5127           1        352
        5127           3         64
        5129           0        778
        5129           1         64
        5130           0       1872
        5130           1        284
        5131           0       1175
        5131           1        242
        5131           2         15
        5132           0        914
        5132           1        357
        5133           0        848
        5133           1        392
        5133           2         34
        5135           0       1593
        5135           1        439
        5135           2        197
        5135           3         40
        5137           0        376
        5137           1         58
        5137           2        143
        5138           0        114
        5138           1         38
        5139           0       1962
        5139           1        673
        5140           0       1084
        5140           1        144
        5141           0        593
        5141           1        191
        5141           4         55
        5142           0         42
        5142           1         24
        5143           0        985
        5143           1        373
        5143           2         62
        5144           0       1449
        5144           1        465
        5144           2         37
        5147           0         87
        5148           0       1742
        5148           1        636
        5148           2        138
        5149           0       1100
        5149           1        135
        5150           0       1314
        5150           1        421
        5150           2        184
        5151           0       1295
        5151           1        273
        5151           2         59
        5154           0        791
        5154           1        159
        5154           2         18
        5155           0       1039
        5155           1        410
        5155           2         25
        5156           0         35
        5156           1         46
        5157           0        821
        5157           1        176
        5157           2        107
        5158           0       1159
        5158           1        599
        5158           2         68
        5159           0       1059
        5159           1        428
        5160           0         87
        5160           1         75
        5161           0       1175
        5161           1        210
        5162           0        575
        5162           1        289
        5163           0        999
        5163           1        190
        5164           0       1916
        5164           1        757
        5164           2         84
        5164           3         38
        5165           0       1427
        5165           1         80
        5165           2        173
        5166           0       2090
        5166           1        687
        5166           2        246
        5167           0        918
        5167           1         72
        5168           0        944
        5168           1        205
        5168           3         72
        5170           0       1616
        5170           1        361
        5170           2        111
        5171           0       1052
        5171           1        358
        5171           2         33
        5172           0       1315
        5172           1        198
        5173           0        207
        5173           1         68
        5174           0        881
        5174           1        230
        5175           0        785
        5175           1        322
        5175           2         81
        5175           3         55
        5176           0        739
        5176           1        198
        5177           0        673
        5177           1         86
        5177           2         40
        5178           0        719
        5178           1         61
        5178           2         62
        5179           0       1814
        5179           1        172
        5179           2         89
        5180           0        978
        5180           1        115
        5180           2         63
        5181           0       2065
        5181           1        484
        5182           0        739
        5182           1         47
        5183           0        512
        5183           1         78
        5184           0        185
        5186           0       1162
        5186           1        166
        5187           0       2286
        5187           1        178
        5187           2         90
        5188           0        429
        5188           1        142
        5190           0         67
        5191           0       1044
        5191           1        221
        5192           0        941
        5192           1         92
        5192           2        145
        5193           0         23
        5194           0        812
        5194           1        115
        5195           0        686
