Fri Sep 24 2021 06:22:39 GMT-0400 (Eastern Daylight Time) - Run Time: 639ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of vehicles in household - n_vehicle


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_vehicle
  gta06_hhld   n_vehicle      total
        4001           1        674
        4001           2       1943
        4001           3        336
        4001           4        205
        4001           6         34
        4002           0         37
        4004           0         23
        4004           1        349
        4004           2        504
        4004           3        116
        4004           4         90
        4004           5         39
        4005           0        180
        4005           1       1834
        4005           2       1308
        4005           3        176
        4005           4         33
        4005           6         42
        4006           0         22
        4006           1         97
        4006           2        337
        4006           3        234
        4007           0         78
        4007           1        612
        4007           2        787
        4007           3        282
        4007           4         14
        4010           0         29
        4010           1        463
        4010           2        176
        4010           3        118
        4011           0        226
        4011           1        945
        4011           2        676
        4011           3        393
        4011           4        132
        4011           5         13
        4012           0        338
        4012           1       1391
        4012           2        503
        4012           3         82
        4012           4        110
        4013           0         80
        4013           1        269
        4013           2        227
        4013           3         63
        4014           0         69
        4014           1        351
        4014           2        126
        4015           0         34
        4015           1        199
        4015           2        168
        4015           3        110
        4016           0        154
        4016           1        582
        4016           2        151
        4016           3         13
        4017           1        126
        4017           2        408
        4017           3        183
        4017           4         15
        4017           5         12
        4018           1        165
        4018           2        600
        4018           3        238
        4018           4        181
        4019           1         28
        4019           3         12
        4020           0         53
        4020           1        263
        4020           2       1011
        4020           3        416
        4020           4        212
        4020           5         44
        4021           2         75
        4021           3         11
        4023           1        253
        4023           2       1198
        4023           3        604
        4023           5         42
        4024           2         23
        4024           3          9
        4025           0         13
        4025           1        382
        4025           2        794
        4025           3        338
        4025           4        205
        4025          99         17
        4026           0         18
        4026           1        215
        4026           2        725
        4026           3         94
        4026           4         31
        4027           1         28
        4027           2         53
        4027           3         79
        4028           1        151
        4028           2        302
        4028           3        107
        4029           0        452
        4029           1       1162
        4029           2        479
        4029           3        198
        4029           4         62
        4029           5         35
        4030           0         56
        4030           1        528
        4030           2        709
        4030           3         81
        4030           4         36
        4031           0          5
        4031           1        538
        4031           2        866
        4031           3         39
        4031           4         96
        4032           0         10
        4032           1        133
        4032           2        513
        4032           3        129
        4032           4         34
        4033           0         16
        4033           1        596
        4033           2       1469
        4033           3        411
        4033           4        132
        4034           1        228
        4034           2        552
        4034           3        100
        4034           4         27
        4035           0        161
        4035           1        941
        4035           2        495
        4035           4         12
        4036           0         84
        4036           1        527
        4036           2        603
        4036           3        176
        4036           4         64
        4036           5         86
        4037           0         24
        4037           1        502
        4037           2       1450
        4037           3        373
        4037           4        213
        4037           5         35
        4037           6         96
        4037           7         15
        4038           0         25
        4038           1        296
        4038           2        711
        4038           3        303
        4038           4         47
        4038          99         14
        4039           0         85
        4039           1        768
        4039           2       2004
        4039           3        454
        4039           4         70
        4039           5          9
        4040           0         63
        4040           1        580
        4040           2        926
        4040           3        186
        4040           4         41
        4040           5         58
        4040           6         59
        4041           0        109
        4041           1        818
        4041           2       1315
        4041           3        446
        4041           4        136
        4041           5         40
        4042           0         68
        4042           1        488
        4042           2       1151
        4042           3        281
        4042           4        105
        4042           5         30
        4043           1          7
        4045           0         34
        4045           1        688
        4045           2       1405
        4045           3        602
        4045           4         11
        4047           1          5
        4048           2         20
        4049           3         14
        4050           0         48
        4050           1         89
        4050           2        162
        4050           3         67
        4050           4         47
        4051           0         92
        4051           1       1181
        4051           2        738
        4051           3        106
        4052           0         15
        4052           1        272
        4052           2        259
        4052           3        114
        4052           4         27
        4053           0         46
        4053           1        170
        4053           2        144
        4053           3         93
        4054           0         68
        4054           1        454
        4054           2        770
        4054           3         18
        4054           4         18
        4054           5         28
        4055           0         18
        4055           1        700
        4055           2       1035
        4055           3        218
        4055           4         95
        4056           0         32
        4056           1         95
        4057           0        189
        4057           1       2115
        4057           2       1383
        4057           3        286
        4057           4         15
        4058           1        278
        4058           2        211
        4058           3         25
        4058           4         23
        4059           0         98
        4059           1        997
        4059           2        992
        4059           3         40
        4059           4        123
        4060           0        451
        4060           1       1761
        4060           2        864
        4060           3        174
        4060           4         35
        4060           5         26
        4061           0        283
        4061           1        626
        4061           2        404
        4061           3        106
        4061           4         37
        4061           5         49
        4062           0         82
        4062           1        617
        4062           2        646
        4062           3        144
        4062           4         48
        4062           5         13
        4063           0         14
        4063           1        117
        4063           2         17
        4064           0        298
        4064           1       1309
        4064           2        735
        4064           3         89
        4065           0         60
        4065           1        196
        4065           2        365
        4065           3        132
        4065           4         42
        4065           5         19
        4065          99         26
        4066           1        190
        4066           2        375
        4066           3         40
        4066           4         33
        4066           5         40
        4067           1        459
        4067           2        448
        4067           3         32
        4067           5         92
        4068           1         65
        4068           2         48
        4069           1        261
        4069           2        288
        4069           3         99
        4070           1        389
        4070           2        521
        4070           3         83
        4070           4         19
        4071           0         61
        4071           1        386
        4071           2        546
        4071           3        130
        4072           0         29
        4072           1         76
        4072           2        524
        4072           3        191
        4073           0         15
        4073           1        185
        4073           2        346
        4073           3        188
        4073           4         24
        4074           0          6
        4074           1        844
        4074           2        740
        4074           3        200
        4074           4        111
        4074           5         18
        4075           0        151
        4075           1        592
        4075           2        784
        4075           3        116
        4075           5         96
        4076           0        225
        4076           1        977
        4076           2       1831
        4076           3        212
        4076           4         71
        4077           1         71
        4077           2         77
        4077           3         10
        4078           0         97
        4078           1       1056
        4078           2        459
        4078           3        101
        4079           0         35
        4079           1       1305
        4079           2       2888
        4079           3        180
        4079           4         52
        4080           0         24
        4080           1        869
        4080           2       1704
        4080           3        558
        4080           4        138
        4080           5          9
        4080           9         10
        4083           0         98
        4083           1        829
        4083           2       1325
        4083           3        244
        4083           4        157
        4083           5         34
        4084           0        113
        4084           1       1450
        4084           2       2342
        4084           3        581
        4084           4        133
        4084           5         50
        4084           7         48
        4085           1        549
        4085           2        622
        4085           3        291
        4085           4        148
        4086           0         64
        4086           1        346
        4086           2        294
        4086           3         37
        4087           0         52
        4087           1        448
        4087           2        464
        4087           4         71
        4088           1        488
        4088           2        702
        4088           3        269
        4088           4        124
        4089           0         50
        4089           1       1224
        4089           2       2112
        4089           3        622
        4089           4         46
        4089           5         36
        4089           6         10
        4090           0         17
        4090           1         95
        4090           2        487
        4090           3        106
        4090           5         39
        4091           1         16
        4091           2        238
        4091           3        103
        4091           4         15
        4092           1         74
        4092           2        171
        4092           3         70
        4092           4          9
        4092           5         57
        4093           1         37
        4093           2         47
        4093           3         22
        4093           4         63
        4093           5         10
        4094           2         22
        4094           3         24
        4094           5          5
        4096           1         46
        4096           2         30
        4096           3         27
        4096           4         14
        4097           1         60
        4097           2        268
        4097           3         37
        4097           4         25
        4097           5          6
        4098           1         53
        4098           2         89
        4098           3        150
