Fri Sep 24 2021 06:25:34 GMT-0400 (Eastern Daylight Time) - Run Time: 1966ms

Cross Tabulation Query Form - Person - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: 2006 GTA zone of employment - gta06_emp
Table: Occupation type - occupation


Filters:
Regional municipality of household - region_hhld In 5, 6, 11, 

Persons 2016
ROW : gta06_hhld
COLUMN : gta06_emp

TABLE    : occupation (Unknown)

  gta06_hhld   gta06_emp      total
        4001        4024         77
        4011        4011         14
        4018        8888         31
        4025         319         14
        4026        4026         30
        4026        8888         30
        4031        4036         23
        4033        3606         14
        4033        4023         14
        4035        3809         22
        4037         307         24
        4037        8888         24
        4038        4068         24
        4038        8888         34
        4039          65         13
        4039        4039         14
        4041        4015         27
        4041        4042         20
        4041        8888         28
        4045        8888         12
        4052        4011         12
        4057        8888         37
        4062        8888         18
        4064          33         17
        4069        6199         43
        4075        4122         45
        4076        4007         20
        4077        4030          7
        4078          77         12
        4078        3644         12
        4078        4078         22
        4079        4068         12
        4079        4085         10
        4079        8888         14
        4080        8888         85
        4084        4125         30
        4084        5104          4
        4084        8888         47
        4085        4041         14
        4089        4030         10
        4090        5039          8
        4091        8888         15
        4105          99         16
        4105        3324         18
        4105        4105         18
        4105        4144         12
        4108         371         30
        4108        7185         13
        4108        8888         32
        4120        4126         26
        4121         391         13
        4121        3325         13
        4125         269         20
        4126        4192         11
        4126        5165         25
        4127        3701         13
        4127        4127         63
        4158        4194         31
        4159        4164          8
        4159        8888         17
        4160        3366         18
        4160        4159         17
        4160        4160         26
        4163          71         61
        4166        3485         18
        4173        3193         12
        4186         264         12
        4186        8888         26
        4189        4059         25
        4190        8888         19
        5053        8888         19
        5059        8888        109
        5066        5104         32
        5076        5076         20
        5081        4029         16
        5090        6015         25
        5091        5104         52
        5094        5129         51
        5117        5181         24
        5123        4024        166
        5123        5097         71
        5126        8888         72
        5130        5068         46
        5131        5186         33
        5139        5098         21
        5144        5144         21
        5150        4052        144
        5155        5155         11
        5155        5173         23
        5164        5198         41
        5164        5203         29
        5171        5172         24
        5174        5092         22
        5175         323         34
        5180        5199         22
        5183        5241         55
        5192        5203         33
        5199        8888         95
        5204        5190         11
        5205        8888         22
        5207        4085         35
        5207        5202         35
        5208        3636         22
        5212        3365         12
        5212        8888         20
        5230        5172         32
        5232        4037         25
        5232        4083         29
        5232        7404         25
        5237        5142         19
        5239        5239         22
        5240        5240         17
        6015        6052         28
        6016        4083         18
        6018        6258         18
        6034        6032         59
        6046        6047         55
        6059        6165         39
        6059        6166         39
        6060        6101         18
        6061        6131         23
        6067        6047         12
        6068        6188         17
        6074        6365         19
        6079        6129         19
        6090        6039         37
        6097        6085          6
        6106        8888         82
        6120        6196         39
        6139        6101         10
        6154        6131         34
        6159        6119          7
