Sat Sep 11 2021 19:00:10 GMT-0400 (Eastern Daylight Time) - Run Time: 1182ms

Cross Tabulation Query Form - Person - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: 2006 GTA zone of employment - gta06_emp
Table: Occupation type - occupation


Filters:
Regional municipality of household - region_hhld In 6, 40
and
Regional municipality of employment - region_emp In 6, 40

Persons 2016
ROW : gta06_hhld
COLUMN : gta06_emp

TABLE    : occupation (Unknown)

  gta06_hhld   gta06_emp      total
        5066        5104         32
        5076        5076         20
        5091        5104         52
        5094        5129         51
        5117        5181         24
        5123        5097         71
        5130        5068         46
        5131        5186         33
        5139        5098         21
        5144        5144         21
        5155        5155         11
        5155        5173         23
        5164        5198         41
        5164        5203         29
        5171        5172         24
        5174        5092         22
        5180        5199         22
        5183        5241         55
        5192        5203         33
        5204        5190         11
        5207        5202         35
        5230        5172         32
        5237        5142         19
        5239        5239         22
        5240        5240         17

TABLE    : occupation (General Office/Clerical)

  gta06_hhld   gta06_emp      total
        5001        5001         58
        5001        5198         20
        5002        5136         85
        5005        5005         37
        5005        5056        137
        5005        5172         54
        5005        5193         51
        5009        5119         34
        5009        5170         52
        5018        5018         55
        5020        5105         47
        5020        5119         20
        5020        5186         17
        5030        5116         22
        5032        5043         84
        5032        5087         45
        5032        5093         34
        5032        5172         28
        5032        5186         67
        5033        5088         70
        5036        5036        108
        5039        5039          7
        5040        5043         34
        5041        5041         67
        5041        5043         21
        5041        5044         75
        5044        5038         15
        5044        5139         32
        5044        5142         45
        5044        5172         16
        5044        5195         27
        5045        5046         41
        5045        5087         38
        5045        5172         49
        5046        5044         32
        5046        5088         51
        5046        5142         65
        5046        5190         40
        5046        5193         25
        5046        5252         37
        5047        5159         17
        5047        5174         38
        5049        5036        131
        5049        5113         18
        5050        5198         36
        5051        5126         47
        5051        5142         44
        5051        5172         63
        5051        5190         51
        5052        5095         45
        5052        5107         22
        5052        5114         37
        5053        5013         39
        5053        5053        108
        5053        5135          9
        5053        5139        108
        5053        5147         16
        5053        5159         16
        5053        5195         37
        5053        5198         12
        5053        5245         39
        5055        5245         43
        5056        5172         58
        5057        5074         31
        5057        5172         46
        5057        5184        142
        5057        5186         39
        5057        5232         36
        5058        5058         15
