Fri Sep 24 2021 05:52:17 GMT-0400 (Eastern Daylight Time) - Run Time: 3274ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Trip purpose of destination - purp_dest


Filters:
Trip purpose of destination - purp_dest In M, 
and
Regional municipality of household - region_hhld In 5, 6, 11, 

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : purp_dest (Market/Shop)

  gta06_orig  gta06_dest      total
           1         211         10
          33        4063          9
          33        4110         10
          35          34         10
          35          35         20
          35        4035         51
          36        4035         51
          36        4059         10
          36        4148         16
          36        5175         19
          38        4084         18
          42          52          7
          43          45          4
          43        4073         17
          43        4124         14
          47        4158          7
          48          39         21
          48        3608          8
          48        4021         19
          49        4084         27
          50          52          6
          50         309         19
          51          52         16
          51        4007          7
          51        4193          3
          52          37         20
          52          53         10
          52         180         13
          52        3635         22
          52        4024         14
          52        4057          8
          52        5036         33
          52        5232         17
          53          52          5
          53         251         28
          54          34         10
          54          52          6
          54        4014         15
          55          52         17
          57        4016         14
          57        4057         18
          60        4014          5
          66        5127         27
          67        4119         18
          68          52         24
          69        5232         17
          72          93          8
          74          52          8
          76         180         53
          76        4071         50
          77         309         24
          80        4152         29
          89        4176         17
         101         157         28
         106         299         18
         107         307          6
         120        4063         24
         120        4148         12
         122         285         28
         122         309         33
         125        6154         66
         128         146         19
         156         147         37
         157        3607         29
         158        4014         10
         179        5112         72
         180         160         19
         180         591         53
         180        4124         19
         196        4025         10
         199        5112         41
         201          52         13
         202         186         27
         221         222          9
         222         221          9
         227         135          8
         230         529         54
         236         465         10
         251        2717         14
         286         288         21
         290        4063         15
         293        4034          6
         298        4057         25
         308         292         71
         308         309         26
         309         299         29
         309        3667         97
         309        4021         52
         309        4024         29
         309        4063         19
         310         309         21
         310        3846          9
         313        2081         12
         322         309         18
         323        3670         34
         332         309         28
         332        3430         13
         335         309         10
         335        3634          7
         350         350         22
         350        3662         41
         357        3368         16
         357        3639         20
         362        4183         27
         371        4081         11
         378        4148         19
         386        4193         35
         387         309         60
         387        2068         60
         387        4030         52
         388        4012         18
         391        5087         54
         402         309         11
         420        4014         15
         423        4024          9
         427        3343          4
         444        4002         33
         449         231         24
         465         465         15
         465        3617         10
         465        4124         16
         473        3634         11
         481        2081         37
         484         481         37
         491        3874         35
         524         490         20
         578        4034         15
         589        2396         14
         609        2085         20
        1188        2081         46
        1318        2708         28
        2006        4148         24
        2066        2085         12
        2073        2081         29
        2081        5112         37
        2085        4148         12
        2096         205         53
        2098        4064         16
        2113        3671         25
        2355        3706         12
        2372         591         19
        2375        4008         37
        2398        2399         98
        2433        2421         18
        2623         503         23
        2717        1318         14
        3151        4158         11
        3193        3190         30
        3324        4119         18
        3325        3367         34
        3325        4119         10
        3325        4158         19
        3332        4082         32
        3335        4027         16
        3337        3879         41
        3340        3367         10
        3341        5192         74
        3343        3670         30
        3345        3340         10
        3345        3367         10
        3353        4152         29
        3357        4162          7
        3366        4148          6
        3375        4158         16
        3383        4183         20
        3419        4124         28
        3422        3485         19
        3422        4084         15
        3423        4071         24
        3429        3479         12
        3434        4193         16
        3462        3467         10
        3479        4159         12
        3480        4124         18
        3480        4193         25
        3484        4154         15
        3486        3375         16
        3492        4119         16
        3495        3620         37
        3512        4027         16
        3601        3601         34
        3601        3603         20
        3602        3601         46
        3602        4024         23
        3605        3700         18
        3605        3874         49
        3605        4063         20
        3605        4119         18
        3605        4148         47
        3607        3607         24
        3607        3671         20
        3607        3851         39
        3607        4040          7
        3608        3607         24
        3608        3695          9
        3608        4034         20
        3608        6003         99
        3609        3816         12
        3611        3617         11
        3611        4064         11
        3612        4150         29
        3612        4162         53
        3612        4182         25
        3612        5145         16
        3613        3601         44
        3613        3634         33
        3613        4063         30
        3613        4110         28
        3614        3634         22
        3614        4021         15
        3614        4024         22
        3615        6002         11
        3617        3638         11
        3617        3851          6
        3618        3608         17
        3618        4021         13
        3620        3695         28
        3620        4105         17
        3620        4158         17
        3621        3616         11
        3621        3621         15
        3621        4059         22
        3621        4068         40
        3621        4183         15
        3623        3616          7
        3631        3868         59
        3631        4033         20
        3631        4068         33
        3632        4079          7
        3633         211         61
        3633        4025         13
        3633        4035         20
        3633        5059         48
        3634        3601         11
        3634        3634         45
        3634        3639         43
        3634        3645          5
        3634        3661          3
        3634        3671         14
        3634        4024         15
        3634        4025         39
        3634        4034        185
        3634        4035         28
        3634        4076         36
        3634        4079          8
        3634        4082         10
        3634        4119         41
        3634        4152         33
        3634        4158          5
        3634        4183         86
        3635        4039         12
        3635        4040          8
        3635        4158         12
        3639        3639         11
        3639        3650         20
        3639        4014         29
        3639        4021         41
        3639        4030         14
        3639        4035         14
        3639        4040         20
        3639        4065          9
        3639        4152         29
        3640        4076         18
        3644        3879         12
        3645        4024         15
        3646        4023         12
        3646        4082         18
        3648        4079          7
        3651        3634         55
        3651        4014         13
        3651        4029         24
        3651        4088         10
        3652        3634         33
        3653        4079         27
        3654        3830         55
        3654        4076         27
        3655        4001         20
        3656        3665         40
        3661        3634         55
        3661        4039          8
        3662        4011         15
        3662        4012         54
        3662        4024         40
        3662        4057         19
        3665        3871         40
        3665        4030         16
        3670        4035         19
        3671        3671         24
        3671        3851         30
        3671        4048          9
        3671        4158         16
        3671        4183         19
        3673        3671         19
        3674        4014         24
        3677        3680         13
        3677        4040         13
        3680        4035         13
        3684        4035         21
        3685        4033         14
        3688        3694          7
        3693        3342         53
        3693        3621         22
        3693        3851         15
        3694        4158         50
        3695        3819         24
        3695        4148          7
        3695        4152          9
        3698        3874         19
        3699        3346          7
        3699        3851         32
        3700        3634          5
        3700        3701         18
        3700        4039          9
        3701        4030         16
        3702        3851         13
        3702        4105         34
        3703         309         16
        3709          88         12
        3709         309         30
        3709        3879         43
        3709        5232         15
        3710        4148         30
        3713        4066         48
        3715        3601         20
        3715        4008         10
        3718        3716          9
        3720        3617         23
        3720        3706         13
        3720        3820         86
        3720        4120         86
        3721        3617         16
        3721        3820         12
        3721        4024          7
        3721        4053         16
        3721        4110         12
        3809        3634         19
        3809        4014         50
        3809        4080         10
        3812        3617         31
        3812        3634         14
        3816        4157         12
        3819        3601          9
        3819        4119         28
        3821        3601         53
        3821        3819         53
        3822        4078         23
        3823        4088         10
        3823        4162         24
        3827        3662         40
        3828        3851         42
        3835        3607          7
        3836        3662         20
        3848        3851         67
        3848        4124         28
        3849        4136         20
        3850         288         31
        3851        3601         42
        3851        3650         30
        3851        4041         32
        3851        4087         33
        3851        4110         20
        3853        3608         15
        3853        4025         23
        3853        4189         16
        3859        3857          7
        3867        3634         41
        3870        3634         17
        3871        4040         25
        3874        3671         19
        3879        4014         13
        3879        4030         10
        3879        4034          7
        3879        4040         18
        3879        4041         14
        3879        6039         43
        4001         122         16
        4001        3649         24
        4001        3671         35
        4001        3851         21
        4001        4001         14
        4001        4002        232
        4001        4005         52
        4001        4007         46
        4001        4009         43
        4001        4012         33
        4001        4030         41
        4001        4034         14
        4001        4057         60
        4001        4059         90
        4001        4061         56
        4001        4062         14
        4001        4063         16
        4001        4069         18
        4001        4075         78
        4001        4076         50
        4001        4079         16
        4001        5232         41
        4002        4001         14
        4002        4002        131
        4002        4007         36
        4002        4040         63
        4002        4075         17
        4002        4076         67
        4002        4077         24
        4002        4079         26
        4002        4080          9
        4002        5126         52
        4003        4009         51
        4003        4025         19
        4003        4034         24
        4003        4040         34
        4003        4041         26
        4003        4062         20
        4003        4079         19
        4003        4124          9
        4003        4148         19
        4003        4158         14
        4004        3651         48
        4004        3660         24
        4004        4002        145
        4004        4005         28
        4004        4007        217
        4004        4009         42
        4004        4016         59
        4004        4035         13
        4004        4039         19
        4004        4040         58
        4004        4075         22
        4004        5204         24
        4005          52          8
        4005        3639          9
        4005        3877         14
        4005        4002        197
        4005        4003         14
        4005        4005        223
        4005        4007        283
        4005        4008          8
        4005        4011         58
        4005        4012         14
        4005        4014         23
        4005        4016         25
        4005        4027         11
        4005        4030         69
        4005        4034         18
        4005        4035         26
        4005        4040         48
        4005        4041         10
        4005        4053         13
        4005        4054         11
        4005        4057         47
        4005        4063         34
        4005        4064         28
        4005        4071         31
        4005        4075         85
        4005        4076         40
        4005        4078         13
        4005        4082         18
        4005        4087         24
        4005        4124         19
        4005        4152         20
        4005        4185         14
        4005        4188         42
        4005        4189         14
        4005        5190         10
        4006        3634         28
        4006        3879         10
        4006        4005         19
        4006        4007        195
        4006        4011         10
        4006        4014         20
        4006        4016         57
        4006        4035         26
        4006        4040         20
        4007        3634         51
        4007        3877         12
        4007        4003         27
        4007        4005         43
        4007        4007         93
        4007        4008         13
        4007        4012         22
        4007        4014         34
        4007        4016         10
        4007        4025         10
        4007        4030         22
        4007        4040         41
        4007        4075         17
        4007        4076         19
        4007        4087         61
        4007        4181         11
        4008        4002         31
        4008        4007         68
        4008        4009         17
        4008        4014         14
        4008        4016         10
        4008        4019         19
        4008        4030         28
        4008        4035         52
        4008        4040         78
        4008        4148         20
        4009        3702         17
        4009        4009         33
        4009        4012         55
        4009        4014         17
        4009        4021         34
        4009        4030         38
        4009        4037         30
        4009        4040          4
        4009        4063         11
        4009        4188         14
        4009        5087         32
        4010         299         31
        4010        3634         15
        4010        4005         27
        4010        4007        114
        4010        4008         17
        4010        4011         15
        4010        4012         26
        4010        4014         15
        4010        4025         10
        4010        4040         70
        4010        4057         19
        4010        4152         21
        4011        3609         17
        4011        3634          7
        4011        3650         99
        4011        3667         35
        4011        3851         11
        4011        3879         13
        4011        4007        133
        4011        4008         10
        4011        4009         57
        4011        4011        252
        4011        4012        196
        4011        4014         54
        4011        4016        144
        4011        4019         14
        4011        4030        155
        4011        4034         11
        4011        4035         20
        4011        4039          4
        4011        4040        151
        4011        4041         23
        4011        4075         22
        4011        4078         15
        4011        4080         15
        4011        4084         27
        4011        5087        109
        4012        3650         18
        4012        4001         12
        4012        4005         19
        4012        4007         32
        4012        4008         60
        4012        4009         58
        4012        4011        124
        4012        4012        275
        4012        4014        185
        4012        4025         19
        4012        4030         19
        4012        4034         43
        4012        4040        221
        4012        4187         12
        4012        9998         23
        4013        4007         19
        4013        4011         12
        4013        4040         21
        4014        3634         13
        4014        3651         55
        4014        3661         55
        4014        3662         26
        4014        3680         22
        4014        4007         38
        4014        4009         14
        4014        4011         37
        4014        4012         66
        4014        4014        346
        4014        4019          9
        4014        4027         57
        4014        4035         71
        4014        4039         10
        4014        4040         60
        4014        4041         58
        4014        4053         51
        4014        4057         14
        4014        4068         37
        4014        4082         19
        4014        4084         11
        4014        5059         36
        4014        5127         37
        4015        3851         32
        4015        4003         47
        4015        4005         17
        4015        4012         21
        4015        4014        117
        4015        4016         19
        4015        4021         14
        4015        4041         17
        4015        4063         50
        4015        4186          8
        4016         152         21
        4016        3634         10
        4016        3685         24
        4016        3872         39
        4016        4002         11
        4016        4007         78
        4016        4009         43
        4016        4011         47
        4016        4012         14
        4016        4014        143
        4016        4016         18
        4016        4030         85
        4016        4040         45
        4016        4041         11
        4016        5093         27
        4016        5193         17
        4016        6317         11
        4017         463         17
        4017        3634         26
        4017        3658         12
        4017        4005          8
        4017        4012         44
        4017        4014         84
        4017        4016         42
        4017        4021         79
        4017        4029         12
        4017        4030         14
        4017        4035         35
        4017        4040        133
        4018         180          9
        4018        3634         14
        4018        3639        142
        4018        3678         17
        4018        4008         14
        4018        4011        117
        4018        4014        223
        4018        4021         84
        4018        4024        117
        4018        4035         13
        4018        4040          8
        4018        4069         23
        4019        3879         10
        4019        4014         61
        4020         309         63
        4020        3634         30
        4020        3639        113
        4020        3836         20
        4020        4002         22
        4020        4008         34
        4020        4011         51
        4020        4014        106
        4020        4018         23
        4020        4021        159
        4020        4024         63
        4020        4030        188
        4020        4035         17
        4020        4057         16
