Fri Sep 24 2021 06:05:25 GMT-0400 (Eastern Daylight Time) - Run Time: 2402ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 6, 5, 11, 

Trip 2016
ROW : gta06_orig
COLUMN : mode_prime
  gta06_orig  mode_prime      total
           1           D         10
           1           P         10
           3           D         23
           4           D         33
           5           D         14
           6           D         19
          10           D         26
          10           J          7
          10           P         26
          11           B         48
          11           D         26
          12           D         19
          14           D         18
          14           G         54
          14           W         88
          15           D        110
          15           J          7
          15           P        141
          16           D        149
          16           G        125
          17           D         13
          17           J          8
          17           P         23
          19           D         33
          21           B         98
          21           D        184
          21           G         17
          21           J         89
          21           P          8
          21           W          9
          22           B         42
          22           D         15
          22           P         15
          23           B         10
          23           D         79
          23           P         52
          23           U         73
          24           D         36
          24           G         17
          24           P         14
          25           B        151
          25           D        213
          25           G        256
          25           J         82
          25           W        126
          26           B         14
          26           D        183
          26           G         42
          26           P        106
          27           G         11
          29           D        131
          29           G         92
          29           J         37
          29           P         48
          29           W         56
          30           D         81
          30           G         15
          31           P         14
          32           D         50
          32           G         15
          33           B         10
          33           D         82
          33           G         70
          33           W         12
          34           D        217
          34           G         21
          34           J         27
          34           P         30
          34           T         22
          34           W         20
          35           B         17
          35           D        198
          35           G        301
          35           J          5
          35           P         52
          35           W         61
          36           B         16
          36           D        384
          36           G        612
          36           J         61
          36           P         80
          36           T         67
          36           W         20
          37           B         22
          37           D        327
          37           G         91
          37           J         84
          37           P         71
          37           W         46
          38           B         23
          38           D        276
          38           G        294
          38           J        390
          38           P         53
          38           T         12
          38           W        104
          39           D         78
          39           W         21
          40           B         29
          40           D         10
          40           J         11
          40           W         18
          41           D         28
          41           J         35
          41           P         28
          42           B         21
          42           D         33
          42           J         72
          42           W         26
          43           B         16
          43           D        129
          43           G         17
          43           J        186
          43           M          6
          43           T          4
          43           W          4
          44           J         18
          45           B        120
          45           D        201
          45           G         22
          45           J        245
          45           P         24
          45           T         14
          45           W          4
          46           B         10
          46           D         53
          46           J        150
          46           P         10
          46           U         27
          46           W         31
          47           D        118
          47           G         20
          47           J         88
          47           P         18
          47           T         30
          47           U         22
          48           D         70
          48           G         57
          48           J        147
          48           W         21
          49           B         52
          49           D         43
          49           G         97
          49           J        163
          49           W          9
          50           B         16
          50           D        151
          50           G        178
          50           J        215
          50           P         28
          50           W         23
          51           B        214
          51           D        356
          51           G        170
          51           J        205
          51           P        135
          51           W          9
          52           B         89
          52           D        308
          52           G        702
          52           J         77
          52           P         43
          52           W         49
          53           B         11
          53           D        330
          53           G        178
          53           J         21
          53           P         19
          54           D        253
          54           G       1076
          54           J         85
          54           P         16
          54           T         10
          54           W          6
          55           B         50
          55           D        542
          55           G       1790
          55           J        265
          55           P         72
          55           T         67
          55           U         17
          55           W        100
          56           B         12
          56           D        182
          56           G        935
          56           J        154
          56           P         17
          56           T         23
          56           W         34
          57           B         91
          57           D        527
          57           G       1913
          57           J        247
          57           P        116
          57           U         13
          57           W        221
          58           D        105
          58           G        266
          58           J         54
          58           P         71
          58           W         84
          59           B         53
          59           D        246
          59           G        244
