Fri Sep 24 2021 05:47:51 GMT-0400 (Eastern Daylight Time) - Run Time: 3507ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Trip purpose of destination - purp_dest


Filters:
Trip purpose of destination - purp_dest In W, 
and
Regional municipality of household - region_hhld In 5, 6, 11, 

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : purp_dest (Work)

  gta06_orig  gta06_dest      total
          26         484         14
          26        4193         14
          35          60         31
          37          75         22
          45          54         10
          45          64         29
          46          40         10
          46          49          5
          47        8910         17
          51          21         14
          51          49          9
          55         247          6
          57        1129         17
          57        4078         34
          58          66         71
          63          57         24
          65          54         12
          65         203         12
          66          55         31
          66         360         16
          67        2113         74
          68          45         25
          69          36         32
          90        6047         43
         120          67         13
         120         205         13
         156         313         18
         179         394         41
         183         209         59
         205          45         14
         205          56         14
         218         465         13
         257         407          8
         285        5224         31
         294         293         22
         298        3423         32
         306        3621         19
         310         332         14
         310        4059         19
         312          71         61
         312         332          7
         327        3639         12
         328         156         41
         357        3707         20
         358        3707         51
         371        2370         17
         371        4148         22
         391         135         97
         391        4030         96
         392        5159         15
         484         484         37
         510        3641         17
         525         530         22
         549         556         36
         585         484         46
        1052        1252         19
        1153        1092         17
        1153        1225         17
        2063         387         33
        2073        6050         21
        2085        4029         14
        2100        5138         48
        2201        2083         14
        3006        8380         45
        3190        3194         30
        3323        3422         19
        3324        3192         26
        3324        4166         29
        3327        3327         33
        3340         357         16
        3355         179         31
        3419        3639         44
        3419        4162         58
        3462        4163          3
        3479        6027         19
        3500        3103         13
        3516         402         29
        3519        3016         46
        3601        3705        104
        3605        3705          9
        3607         309         16
        3609        3671         29
        3611        3700         32
        3611        3867         26
        3612          65          9
        3612        3603         21
        3612        3620         43
        3612        3809         19
        3613        3703         17
        3615        3480         27
        3615        3621         19
        3615        3660         26
        3616        3621         29
        3616        3825          9
        3618        3612         31
        3618        3621         18
        3621        3702         45
        3623        4030         55
        3631          65          9
        3631         117         22
        3631        4152         22
        3633        3825         22
        3634        3632          8
        3634        3636         22
        3634        3847         20
        3634        4183         22
        3635        3621         15
        3635        3634         54
        3638        4105         13
        3639        3648         14
        3639        3695         10
        3639        3711         13
        3639        3825         13
        3645        4110         38
        3651          68         20
        3653        4016         21
        3654        4022         38
        3655        3341          9
        3655        4019         35
        3656        4035         33
        3659        3703         13
        3662        3605         32
        3662        3635         18
        3662        3653         22
        3662        3710         20
        3662        3721         24
        3671        3825         36
        3674        3670         34
        3678        3680          9
        3679        3607         25
        3684        4120         22
        3685        3834         15
        3694         246         10
        3695         310          9
        3699         331          9
        3701         157         13
        3701        5142         47
        3702        3848         27
        3703         358         21
        3703        2064         22
        3703        3621         32
        3705        4078         60
        3708          56          5
        3709        3605         29
        3709        3709         19
        3709        3710         19
        3709        5013         26
        3715          53         12
        3716        3711         20
        3720        3705         20
        3721         331         12
        3721        3721         14
        3811        3670         36
        3813        5184         49
        3815        3851         23
        3816          36         19
        3816        4025         15
        3816        5190         22
        3816        5197         13
        3818        5092        102
        3820        7318         29
        3821         391         13
        3821        3825         28
        3823        3608         46
        3825        2091         15
        3828        2097         21
        3834        3834         15
        3836        3479         25
        3844        3710         94
        3847        3699         30
        3851        4002         47
        3851        4105         11
        3868        3715         14
        3869          78         63
        3870        3825         65
        3874        3660         10
        3877        3328         48
        4001          34         28
        4001          36         22
        4001          37         15
        4001          43         29
        4001          44         18
        4001          48         22
        4001          50         24
        4001          52         45
        4001          54         31
        4001          55         92
        4001          56         92
        4001          57         66
        4001          60         34
        4001          68         20
        4001          70         23
        4001         292         43
        4001         296         16
        4001         307         39
        4001         309         28
        4001         313         56
        4001         345         21
        4001        1072         30
        4001        2115         42
        4001        2444         22
        4001        3331         16
        4001        3357          9
        4001        3423         16
        4001        3495         16
        4001        3605         74
        4001        3607         39
        4001        3613         72
        4001        3617         31
        4001        3618         31
        4001        3627         18
        4001        3633         42
        4001        3634         25
        4001        3638         23
        4001        3659         28
        4001        3693         15
        4001        3698         16
        4001        3699         19
        4001        3701         17
        4001        3703         39
        4001        3715         20
        4001        3723         30
        4001        3809         23
        4001        3848         58
        4001        4002         71
        4001        4003         42
        4001        4005         39
        4001        4006         21
        4001        4008         81
        4001        4009         42
        4001        4011         14
        4001        4012         62
        4001        4014         25
        4001        4015          9
        4001        4016         50
        4001        4017         15
        4001        4022         51
        4001        4024        225
        4001        4027         32
        4001        4034         10
        4001        4036         32
        4001        4040         22
        4001        4051         30
        4001        4058         17
        4001        4069        155
        4001        4076         28
        4001        4077         20
        4001        4078         74
        4001        4082         19
        4001        4103         20
        4001        4120         30
        4001        4122         49
        4001        4185         28
        4001        4186         69
        4001        4190         49
        4001        4192         18
        4001        5120         19
        4001        5141         19
        4001        5181         20
        4001        5182         20
        4001        5193         13
        4001        5208         19
        4001        7141         29
        4001        8142         43
        4001        8917         16
        4001        9998         15
        4002        2116         21
        4002        3631         20
        4002        3633         11
        4002        3822         48
        4002        4011         39
        4002        4060          9
        4002        5036         31
        4003        3627         12
        4003        3633          7
        4003        3709         38
        4003        3719         27
        4003        4003         34
        4003        4012         39
        4003        4077         10
        4003        4078         17
        4003        4081         49
        4003        5239         21
        4004          21          8
        4004          37         56
        4004          48         21
        4004          51          7
        4004          55          7
        4004          57         15
        4004          59          8
        4004          66          7
        4004          90         32
        4004         168         14
        4004         204          6
        4004         307         20
        4004         420         15
        4004        3462         15
        4004        3601          6
        4004        3615         37
        4004        3618         13
        4004        3621         37
        4004        3634         39
        4004        3639         14
        4004        3704         14
        4004        4003         80
        4004        4007         37
        4004        4008         99
        4004        4011          8
        4004        4014         62
        4004        4016         21
        4004        4017         44
        4004        4021         11
        4004        4022         15
        4004        4024         32
        4004        4025         17
        4004        4027          7
        4004        4064          7
        4004        4068          9
        4004        4069         16
        4004        4078         50
        4004        4185         66
        4004        4187         77
        4004        4190         14
        4004        5128         15
        4004        7168         56
        4004        8627         20
        4005          33         10
        4005          34         21
        4005          36         54
        4005          50         22
        4005          51         14
        4005          52          6
        4005          53         15
        4005          54         21
        4005          57         21
        4005          62         33
        4005          69         45
        4005         209         30
        4005         292         24
        4005         300         32
        4005         322         23
        4005         331         11
        4005         473         23
        4005        3601         12
        4005        3605         55
        4005        3614         14
        4005        3618         16
        4005        3633         37
        4005        3639         59
        4005        3649         23
        4005        3669         15
        4005        3699         41
        4005        3702         11
        4005        3703         23
        4005        3709         16
        4005        3835         23
        4005        3848         37
        4005        4002         16
        4005        4003         13
        4005        4005         85
        4005        4007         23
        4005        4009         38
        4005        4011         23
        4005        4014         12
        4005        4016         27
        4005        4018         16
        4005        4019         32
        4005        4021         42
        4005        4022         47
        4005        4023         24
        4005        4029         22
        4005        4039         11
        4005        4040         80
        4005        4046         23
        4005        4059         17
        4005        4060         23
        4005        4064         22
        4005        4068         12
        4005        4069         12
        4005        4076         23
        4005        4078         17
        4005        4082         51
        4005        4100         14
        4005        4106         14
        4005        4125         16
        4005        4144         23
        4005        4148          8
        4005        4177         13
        4005        4186         32
        4005        4194         34
        4005        5119         13
        4005        5147         26
        4005        5172         13
        4005        7381         22
        4005        7421         21
        4005        8909         32
        4006          52         17
        4006          55         20
        4006          57         57
        4006          60         11
        4006         106         16
        4006         268         30
        4006        3327         24
        4006        3632        126
        4006        3704         41
        4006        4003         65
        4006        4005         26
        4006        4011         16
        4006        4012         34
        4006        4014         30
        4006        4016         18
        4006        4019         63
        4006        4025         65
        4006        4026         11
        4006        4077         57
        4006        4078         24
        4006        4185         11
        4006        5142         65
        4007          38         37
        4007          46         10
        4007          49          8
        4007          55         60
        4007          57          7
        4007          59         21
        4007          60         26
        4007          76          9
        4007          84         11
        4007         143         27
        4007         223         23
        4007         308         11
        4007         313          9
        4007        3331         26
        4007        3370         15
        4007        3605         15
        4007        3618         26
        4007        3633         85
        4007        3643         79
        4007        3662         15
        4007        3670         27
        4007        3693         11
        4007        3696         29
        4007        3700         14
        4007        3701         31
        4007        3703         14
        4007        3707         83
        4007        3709         18
        4007        3823         38
        4007        3835         19
        4007        3843         27
        4007        4003        153
        4007        4005         58
        4007        4007         87
        4007        4008         69
        4007        4009         50
        4007        4011         29
        4007        4012         54
        4007        4019         31
        4007        4024         33
        4007        4027         11
        4007        4034         22
        4007        4035         58
        4007        4037         38
        4007        4040         14
        4007        4041        126
        4007        4062         14
        4007        4063         10
        4007        4069         38
        4007        4074         42
        4007        4076         14
        4007        4078         10
        4007        4086         62
        4007        4163         26
        4007        4182         14
        4007        4190         23
        4007        5193         38
        4007        5210        107
        4008          36         11
        4008        3709         30
        4009        3643         21
        4009        4021         83
        4009        4026         39
        4009        5186         44
        4010          32         17
        4010          35         18
        4010          50         47
        4010          55         39
        4010          89         20
        4010         180         15
        4010        2006         15
        4010        2066         27
        4010        2624         27
        4010        3602         10
        4010        3615         17
        4010        3654         13
        4010        3872         30
        4010        4003         19
        4010        4009         51
        4010        4011         15
        4010        4012          7
        4010        4014         42
        4010        4019         27
        4010        4022         21
        4010        4027         19
        4010        4039         20
        4010        4040         27
        4010        4042         15
        4010        4069         21
        4010        4076         15
        4010        5119         25
        4010        5206         42
        4011          21          4
        4011          26         12
        4011          35         10
        4011          54         77
        4011          55         26
        4011          58         11
        4011          63          9
        4011          65         28
        4011         117         11
        4011         236         17
        4011         278         29
        4011         285         11
        4011         299         20
        4011         313         12
        4011         355         16
        4011         372         13
        4011        3423         16
        4011        3424         17
        4011        3426         10
        4011        3609         18
        4011        3620         37
        4011        3633          9
        4011        3635         21
        4011        3660         10
        4011        3662         19
        4011        3663         15
        4011        3671         12
        4011        3698         19
        4011        3699         24
        4011        3701         13
        4011        3710         27
        4011        3809         18
        4011        3815         11
        4011        3820         34
        4011        3823         35
        4011        3851         26
        4011        4007         23
        4011        4008         25
        4011        4009        119
        4011        4011         88
        4011        4012         10
        4011        4016         78
        4011        4024         77
        4011        4027         29
        4011        4029         44
        4011        4030          9
        4011        4035         37
        4011        4037         13
        4011        4040         58
        4011        4057         20
        4011        4067         15
        4011        4069         37
        4011        4075          9
        4011        4077         15
        4011        4084         27
        4011        4186         13
        4011        6023         10
        4011        6132         15
        4011        7395         99
        4012          29         23
        4012          38         54
        4012          49         37
        4012          55          6
        4012          56         38
        4012          57         12
        4012          66         13
        4012          78         28
        4012          89         26
        4012         157         34
        4012         442         25
        4012         484         25
        4012        3612         10
        4012        3614         37
        4012        3621          5
        4012        3633         54
        4012        3658         18
        4012        3662         70
        4012        3698         15
        4012        3705         81
        4012        3842         21
        4012        4001         22
        4012        4003         67
        4012        4005         32
        4012        4008        115
        4012        4009         39
        4012        4010          4
        4012        4011        147
        4012        4012        235
        4012        4014         15
        4012        4016        126
        4012        4018         52
        4012        4021         21
        4012        4022         36
        4012        4024         48
        4012        4025          8
        4012        4027         55
        4012        4029        103
        4012        4030         14
        4012        4040         90
        4012        4061         12
        4012        4069         17
        4012        4076         14
        4012        4082         54
        4012        4182         14
        4012        4183         11
        4012        4187         25
        4012        4192         11
        4012        5097         22
        4012        5135          8
        4012        5197         29
        4012        5228         52
        4012        7318         23
        4012        8059          4
        4013          36          5
        4013          43          8
        4013          54          9
        4013          55         34
        4013          65          8
        4013          68         14
        4013         180          4
        4013         230         54
        4013         395         34
        4013        3649         21
        4013        3662          8
        4013        3671         92
        4013        3699          5
        4013        4016         26
        4013        4018         54
        4013        4024         18
        4013        4042          6
        4013        4118         21
        4013        4185         37
        4013        5198          6
        4013        6053         40
        4014          29          5
        4014          36         10
        4014          37         23
        4014          47         30
        4014          50         15
        4014          55          8
        4014          56         22
        4014          57          8
        4014         358         37
        4014         452         10
        4014        3611         58
        4014        3618         14
        4014        3658         13
        4014        3662         22
        4014        3699         10
        4014        3700         10
        4014        3833         25
        4014        3847          8
        4014        3862         17
        4014        4003         11
        4014        4005         14
        4014        4008         16
        4014        4012         17
        4014        4014         14
        4014        4016         23
        4014        4024         10
        4014        4026         26
        4014        4027         13
        4014        4029        113
        4014        4040         46
        4014        4099         37
        4014        4126         22
        4014        4180         14
        4014        5198         23
        4015          54         12
        4015         204          8
        4015         387         37
        4015        3618         50
        4015        3639          9
        4015        3671         27
        4015        3693         27
        4015        3695         50
        4015        3709         23
        4015        4005         14
        4015        4009         15
        4015        4016         55
        4015        4029         34
        4015        4062         34
        4015        5184         37
        4015        7537         15
        4016          21         16
        4016          54         10
        4016          55         10
        4016          63         34
        4016          67         16
        4016          68         12
        4016          86          4
        4016         168          5
        4016         362         20
        4016        3605         15
        4016        3634         10
        4016        3660         13
        4016        4001         10
        4016        4003        109
        4016        4005         13
        4016        4008          9
        4016        4011         17
        4016        4012         12
        4016        4016         18
        4016        4017         15
        4016        4022         13
        4016        4068         24
        4016        4147         17
        4016        7117         13
        4017          54         15
        4017          55         14
        4017          65         27
        4017         114         15
        4017         210         15
        4017         243         21
        4017         295         14
        4017        2387         12
        4017        3421         42
        4017        3627         27
        4017        3634         21
        4017        3851         38
        4017        4008         41
        4017        4009         32
        4017        4027         31
        4017        4060         19
        4017        8145         12
        4018          37         22
        4018          47         22
        4018          54         20
        4018          55         54
        4018          56         20
        4018          57         62
        4018          61         14
        4018         104         18
        4018         117         66
        4018         204          9
        4018         352         15
        4018        2370         20
        4018        2374         15
        4018        3196         13
        4018        3343          9
        4018        3422         41
        4018        3609         31
        4018        3613         15
        4018        3634         25
        4018        3646         12
        4018        3661         66
        4018        3662         10
        4018        3700         15
        4018        3709        117
        4018        3821         42
        4018        3835         25
        4018        3866         33
        4018        4003         66
        4018        4008         26
        4018        4011         27
        4018        4014         22
        4018        4016          5
        4018        4024         15
        4018        4027         40
        4018        4040         13
        4018        4041         31
        4018        4077         20
        4018        4078          7
        4018        4150         16
        4018        5106         15
        4018        7040         32
        4018        7312         14
        4019        4014         14
        4020          36         71
        4020          37         12
        4020          38         53
        4020          54         86
        4020          55        119
        4020          56          7
        4020          57         97
        4020          62         16
        4020          89         71
        4020          90         79
        4020         204         58
        4020         211         11
        4020         243         23
        4020         484         29
        4020        2238         18
        4020        3612         37
        4020        3618         15
        4020        3641         18
        4020        3670         14
        4020        3690         14
        4020        3703         88
        4020        3835         22
        4020        3854        237
        4020        3879         18
        4020        4002         46
        4020        4003         71
        4020        4008         16
        4020        4011         35
        4020        4014         71
        4020        4015         23
        4020        4016         16
        4020        4018         36
        4020        4021        200
        4020        4022         14
        4020        4023         14
        4020        4024         15
        4020        4025         48
        4020        4040         44
        4020        4053         16
        4020        4060         23
        4020        5100         55
        4020        5168         23
        4020        5185         12
        4020        5194         11
        4020        6001         37
        4020        6009         29
        4020        8032         46
        4021         350         41
        4021        3609         11
        4021        3621         41
        4021        3633         22
        4021        3835         18
        4021        4014         14
        4021        4076         17
        4022          65         24
        4023          36         18
        4023          37         13
        4023          41         10
        4023          46         27
        4023          50         45
        4023          51         34
        4023          54         31
        4023          55        132
        4023          57         80
        4023          60          8
        4023          63         27
        4023          65          6
        4023          66         21
        4023          67         40
        4023          69         22
        4023          96         14
        4023         113         23
        4023         204          8
        4023         228         43
        4023         289         16
        4023         309         97
        4023         313         41
        4023         323         21
        4023         327         16
        4023         354         11
        4023         421         80
        4023         454          4
        4023         473         42
        4023        2062         47
        4023        2083         21
        4023        2400         17
        4023        3340         64
        4023        3605         43
        4023        3618         29
        4023        3633        140
        4023        3639        143
        4023        3654         33
        4023        3661         16
        4023        3662         22
        4023        3671         47
        4023        3680         42
        4023        3701         21
        4023        3707         31
        4023        3720         23
        4023        3721         37
        4023        3816         12
        4023        3821         21
        4023        3825         43
        4023        3831         11
        4023        3836         80
        4023        3854         16
        4023        3878         16
        4023        4004         16
        4023        4008         19
        4023        4009         38
        4023        4012         26
        4023        4021        101
        4023        4022         26
        4023        4023         16
        4023        4024        134
        4023        4027         44
        4023        4033         16
        4023        4037         11
        4023        4041         16
        4023        4042         18
        4023        4078         29
        4023        4104         11
        4023        5097         23
        4023        5184         37
        4023        5198         33
        4023        5230         26
        4023        7021         13
        4023        7378         16
        4023        8561         22
        4023        9998         11
        4024        3662         10
        4024        3701         19
        4024        4003         19
        4024        4008         55
        4024        4024          9
        4024        4041         19
        4024        5206         32
        4025          33          9
        4025          48         19
        4025          51          9
        4025          54         26
        4025          55         21
        4025          56         39
        4025          57         62
        4025          67         11
        4025          69         79
        4025          75         22
        4025          77         54
        4025         179          8
        4025         196         54
        4025         211         56
        4025         307         21
        4025         319         14
        4025         416          8
        4025        2031         33
        4025        3325         32
        4025        3331          8
        4025        3434          7
        4025        3481         73
        4025        3612          4
        4025        3613          9
        4025        3623         16
        4025        3632        130
        4025        3633         35
        4025        3639        109
        4025        3645         15
        4025        3652         33
        4025        3663          8
        4025        3686         64
        4025        3698         22
        4025        3702         16
        4025        3703         16
        4025        3709         11
        4025        3810         60
        4025        3816          8
        4025        3834         48
        4025        3836          8
        4025        4002         15
        4025        4007         26
        4025        4008         44
        4025        4009        110
        4025        4011         14
        4025        4012         19
        4025        4014          4
        4025        4016         29
        4025        4017         22
        4025        4023         27
        4025        4024        163
        4025        4025         37
        4025        4029         44
        4025        4033         85
        4025        4039         14
        4025        4041        115
        4025        4056         16
        4025        4063        113
        4025        4183         25
        4025        4185          8
        4025        4186          8
        4025        5043         29
        4025        5172         12
        4025        5198         48
        4025        8145          6
        4025        8960         80
        4026          16         41
        4026          35         18
        4026          36          6
        4026          51          5
        4026          56         18
        4026          57         38
        4026          60         10
        4026          66          9
        4026         106         22
        4026         113         34
        4026         285         30
        4026         292         13
        4026         293          6
        4026         304         27
        4026         326         31
        4026         358         21
        4026         372         22
        4026        2136         10
        4026        3325         56
        4026        3333         28
        4026        3423          8
        4026        3605          7
        4026        3612         31
        4026        3633         22
        4026        3634          9
        4026        3638         22
        4026        3645          7
        4026        3700         14
        4026        3702         13
        4026        3704         16
        4026        3710         13
        4026        3720         13
        4026        3825         22
        4026        3868         13
        4026        3870         13
        4026        3872         16
        4026        4003         31
        4026        4009          9
        4026        4017         22
        4026        4018         27
        4026        4022         37
        4026        4024         14
        4026        4027         14
        4026        4029         13
        4026        4036         41
        4026        4037         34
        4026        4045         14
        4026        4078         33
        4026        4113         17
        4026        4122         11
        4026        5183         11
        4026        5205         14
        4026        8403         17
        4027          29         19
        4027          58         28
        4027         101         24
        4027         293         13
        4027        3605         45
        4027        3609         79
        4027        4002         10
        4027        4014         10
        4027        4062         79
        4028          55          8
        4028          63         29
        4028          65          5
        4028         101         13
        4028         180         17
        4028         203         11
        4028         357         20
        4028        3429         36
        4028        3605         28
        4028        3618         15
        4028        3634        145
        4028        3639         25
        4028        3701         31
        4028        4003         43
        4028        4014         15
        4028        4027         20
        4028        6023         14
        4028        6024         15
        4028        7316          8
        4028        8521         45
        4029          45          9
        4029          46          4
        4029          49          4
        4029          54         50
        4029          57         18
        4029          58         32
        4029          66          6
        4029         146         17
        4029         201         13
        4029         204         18
        4029         230         13
        4029         307         46
        4029         408         31
        4029         578         15
        4029        2083         55
        4029        2094         17
        4029        2405         19
        4029        3420          7
        4029        3605         49
        4029        3608         20
        4029        3612         86
        4029        3615         27
        4029        3631         44
        4029        3633         48
        4029        3634         10
        4029        3648         25
        4029        3662         30
        4029        3688        126
        4029        3693         81
        4029        3701         25
        4029        3703         11
        4029        3706         21
        4029        3709         30
        4029        3721         23
        4029        3809         50
        4029        3819         24
        4029        3820         14
        4029        3822         19
        4029        3849         20
        4029        4002         31
        4029        4003         25
        4029        4005         21
        4029        4009         64
        4029        4011         41
        4029        4014         61
        4029        4016         58
        4029        4018         13
        4029        4019         26
        4029        4022         17
        4029        4023         64
        4029        4024         56
        4029        4025         31
        4029        4027        105
        4029        4029         25
        4029        4030          7
        4029        4034         25
        4029        4035         26
        4029        4040         19
        4029        4041         96
        4029        4060         19
        4029        4061         35
        4029        4071         32
        4029        4077         35
        4029        4078         35
        4029        4084         27
        4029        4124         22
        4029        4147         20
        4029        4154         15
        4029        5162         26
        4029        5198         25
        4029        5245          8
        4029        5251         71
        4029        7193         31
        4029        8095         37
        4030          29         14
        4030          37         13
        4030          40         11
        4030          51         28
        4030          55          9
        4030          56          5
        4030          57          6
        4030          59         10
        4030          67         18
        4030          89         19
        4030         127        105
        4030         211          4
        4030         286         39
        4030         298         15
        4030         301         14
        4030         313         21
        4030         387         52
        4030         388          9
        4030         391         30
        4030        2003         18
        4030        3330         13
        4030        3605         41
        4030        3614         36
        4030        3618         81
        4030        3633         11
        4030        3639         13
        4030        3646         18
        4030        3662         13
        4030        3709          9
        4030        4003         13
        4030        4009         55
        4030        4011         39
        4030        4012         28
        4030        4016         17
        4030        4017         15
        4030        4018          4
        4030        4022         51
        4030        4024         18
        4030        4025         47
        4030        4027         38
        4030        4029         13
        4030        4041         15
        4030        4042         19
        4030        4063         31
        4030        4079         30
        4031          35         51
        4031          36          4
        4031          42         44
        4031          52         17
        4031          55         14
        4031          56         13
        4031          57         29
        4031          59         51
        4031         113         90
        4031         228         14
        4031         299         23
        4031         387         60
        4031         452         34
        4031         611         12
        4031        2094         30
        4031        3327          9
        4031        3360        105
        4031        3430         44
        4031        3484         15
        4031        3621         22
        4031        3633         59
        4031        3635         61
        4031        3640         15
        4031        3642         35
        4031        3651         15
        4031        3662         39
        4031        3690         60
        4031        3695          4
        4031        3699         15
        4031        3710          8
        4031        3715         10
        4031        3824         40
        4031        3853         29
        4031        4003         60
        4031        4008         32
        4031        4012        155
        4031        4014         50
        4031        4016         30
        4031        4021         96
        4031        4022          9
        4031        4024         23
        4031        4025         16
        4031        4027         51
        4031        4029         40
        4031        4030        117
        4031        4032         14
        4031        4036         23
        4031        4039         13
        4031        4041         94
        4031        4063         30
        4031        4106         96
        4031        7155         15
        4032          36         20
        4032          43          9
        4032          54         55
        4032          55         26
        4032          56         20
        4032          57         51
        4032          60         22
